signal,n_trades,gross_mean,mean_cost_bps,net_mean,net_win_rate
ict_sweep_sellside_bullish,49304,0.00821613475931871,18.544321230667524,0.006361702636251958,0.5568919357455785
smc_internal_ob_bearish_mitigated,42268,0.007867605595628564,18.497783456278455,0.006017827250000717,0.5557395665751869
ict_nwog_gap_up,147321,0.007667228761261797,18.49887240389429,0.005817341520872369,0.5538789446175358
ict_liquidity_buyside_pool_formed,58941,0.007429343087893899,18.49059692610248,0.005580283395283651,0.5560136407594035
smc_swing_choch_bullish,2699,0.007339301226392546,18.48955886367294,0.005490345340025252,0.5513153019636903
ict_ob_bearish_mitigated,20112,0.006846302245276783,18.485880412460673,0.0049977142040307145,0.5492740652346858
ict_mss_bullish,36506,0.006759523312652582,18.478156320281734,0.004911707680624408,0.5523749520626746
smc_swing_ob_bullish_formed,7275,0.00657365176450604,18.445425994188287,0.004729109165087211,0.5498281786941581
smc_fvg_bullish_formed,68004,0.0065334826287078195,18.516684717235915,0.004681814156984228,0.541982824539733
ict_liquidity_buyside_swept,44261,0.006416726732818477,18.473356466986917,0.004569391086119786,0.5536024942952035
smc_internal_choch_bullish,26396,0.006395166219152226,18.529516349556836,0.004542214584196542,0.5524321866949538
ict_bpr_bullish,26830,0.006190668484569056,18.515501800365225,0.004339118304532533,0.5434588147595975
smc_swing_bos_bullish,4576,0.0061220591295340805,18.470022655140824,0.004275056864019998,0.5480769230769231
smc_equal_lows,9341,0.005974045072359006,18.53412711369037,0.004120632360989968,0.5349534311101595
ict_displacement_bullish,212461,0.005663123635550695,18.50056058702431,0.0038130675768482643,0.5437421456173133
ict_fvg_bullish_formed,112181,0.005641996502350616,18.485279223469185,0.0037934685800036978,0.5419812624241181
ict_ob_bullish_formed,32541,0.005528023388009605,18.475994872295406,0.0036804239007800646,0.5465412863771857
smc_internal_ob_bullish_formed,58340,0.005198425809633111,18.493516652646875,0.0033490741443684235,0.540743914981145
ict_volume_imbalance_bullish,117546,0.0050128544465555605,18.520533383047,0.003160801108250861,0.537823490378235
smc_swing_ob_bearish_mitigated,3846,0.004391963490538017,18.62986544921299,0.0025289769456167182,0.5522620904836193
ict_bos_bullish,80739,0.004352096135933683,18.49588469026648,0.0025025076669070345,0.5337445348592378
smc_internal_bos_bullish,31944,0.004209534003670597,18.485670872873158,0.0023609669163832813,0.5311482594540445
smc_swing_choch_bearish,2653,-0.003683011440427951,18.62866347576354,-0.005545877788004305,0.42065586128910665
smc_swing_ob_bearish_formed,3898,-0.004929878531640344,18.42879919146671,-0.006772758450787015,0.42432016418676244
ict_sweep_buyside_bearish,65448,-0.005924371965095585,18.50545207459411,-0.0077749171725549964,0.4222436132502139
smc_swing_ob_bullish_mitigated,6776,-0.00600414106250507,18.491140977706937,-0.007853255160275765,0.4114521841794569
smc_internal_ob_bullish_mitigated,54035,-0.007177100576663063,18.497726580506015,-0.009026873234713665,0.41939483667992966
ict_nwog_gap_down,130643,-0.007314332473051956,18.49214260139515,-0.009163546733191471,0.41297275782093185
smc_equal_highs,10483,-0.0075341879060914245,18.446789960916213,-0.009378866902183045,0.4092339979013641
smc_swing_bos_bearish,1245,-0.007586857160545146,18.716801925798784,-0.009458537353125025,0.42570281124497994
smc_internal_choch_bearish,26315,-0.007668395934575993,18.486472771655244,-0.009517043211741516,0.421736652099563
ict_bpr_bearish,26182,-0.007852787976803088,18.571002956412535,-0.009709888272444341,0.42590329233824764
ict_liquidity_sellside_pool_formed,51635,-0.008229674778572293,18.517268198445297,-0.010081401598416822,0.4112520577127917
ict_mss_bearish,36553,-0.008462370119570873,18.518437787218932,-0.010314213898292764,0.4151232456980275
ict_ob_bearish_formed,22431,-0.008674436595598117,18.455984087046783,-0.010520035004302795,0.41335651553653424
smc_internal_ob_bearish_formed,42864,-0.008702431797914289,18.49467226949148,-0.010551899024863438,0.41307390817469203
ict_fvg_bearish_formed,90730,-0.008777823080069976,18.492683263491216,-0.010627091406419098,0.4147580734046071
ict_liquidity_sellside_swept,32884,-0.008845383052689235,18.524213930401785,-0.010697804445729413,0.4064590682398735
ict_displacement_bearish,190415,-0.009015994204249776,18.506728448548184,-0.010866667049104594,0.4124149883149962
ict_volume_imbalance_bearish,84642,-0.009396932687033534,18.494727295323322,-0.011246405416565868,0.4017627182722526
ict_ob_bullish_mitigated,20531,-0.009423217195619194,18.50831202477767,-0.011274048398096962,0.4062636987969412
smc_internal_bos_bearish,16549,-0.010346679410685289,18.470802872665455,-0.012193759697951835,0.4000845972566318
smc_fvg_bearish_formed,67673,-0.010898351237571173,18.52543853362759,-0.012750895090933932,0.40821302439673135
ict_bos_bearish,42496,-0.011988047447663911,18.499032839999455,-0.013837950731663856,0.389660203313253
