signal,n_trades,observed_mean,rotation_null_mean,rotation_p_value,rotation_p_adj,rotation_n_offsets,mc_null_mean,mc_p_value,block_null_mean,block_p_value,n_runs
smc_swing_choch_bearish,2653,-0.003683011440427952,-0.007085990584261364,0.16038882138517618,1.0,4114,-0.006937669720813002,0.002997002997002997,-0.0068037935400090035,0.1028971028971029,1000
smc_swing_ob_bearish_formed,3898,-0.004929878531640344,-0.007018933355232094,0.24471445929526123,1.0,4114,-0.006818276477150021,0.024975024975024976,-0.0068936119363800135,0.21078921078921078,1000
ict_sweep_sellside_bullish,49304,0.00821613475931871,0.006925449568254257,0.17569866342648846,1.0,4114,0.0070151039461978275,0.000999000999000999,0.006998503149013358,0.07192807192807193,1000
ict_sweep_buyside_bearish,65448,-0.005924371965095586,-0.006981502633717547,0.10036452004860268,1.0,4114,-0.007060984143928941,0.000999000999000999,-0.007051763534572434,0.05194805194805195,1000
ict_liquidity_buyside_pool_formed,58941,0.0074293430878938985,0.0067449293525120345,0.19635479951397328,1.0,4114,0.006856933806502542,0.00999000999000999,0.006829359292507523,0.1888111888111888,1000
ict_nwog_gap_up,147321,0.007667228761261797,0.0070348157644237195,0.2648845686512758,1.0,4114,0.007180469047497381,0.000999000999000999,0.0071859070005070025,0.14585414585414586,1000
smc_swing_choch_bullish,2699,0.007339301226392546,0.00671095954854492,0.4196840826245444,1.0,4114,0.0069368567708128215,0.3626373626373626,0.006948488990944522,0.45054945054945056,1000
smc_internal_ob_bearish_mitigated,38121,0.007010092609640467,0.006876319493984818,0.46682867557715674,1.0,4114,0.007116519543472716,0.6233766233766234,0.007101187098124324,0.5414585414585414,1000
ict_nwog_gap_down,130643,-0.007314332473051956,-0.007015574602820659,0.5968408262454435,1.0,4114,-0.007107126272595634,0.9000999000999002,-0.007112057779512776,0.6763236763236763,1000
ict_ob_bearish_mitigated,20124,0.006839692640547141,0.006836333739088906,0.5078979343863913,1.0,4114,0.007084125008896065,0.7202797202797203,0.007115216495940834,0.6073926073926074,1000
ict_bos_bearish,42496,-0.011988047447663911,-0.0071034030278727955,0.9997569866342649,1.0,4114,-0.007054549571614026,1.0,-0.007086477784713543,1.0,1000
smc_fvg_bearish_formed,67673,-0.010898351237571173,-0.006975763984903483,0.9958687727825031,1.0,4114,-0.006967244041889504,1.0,-0.00695985179129271,1.0,1000
smc_swing_ob_bullish_mitigated,3405,-0.01051501732617265,-0.006939745504666918,0.7599027946537059,1.0,4114,-0.006796213272557335,1.0,-0.0068162686524164025,0.9210789210789211,1000
smc_internal_bos_bearish,16549,-0.010346679410685289,-0.007078030919543317,0.9730255164034022,1.0,4114,-0.0070569873369294754,1.0,-0.007011196152483119,0.988011988011988,1000
smc_internal_bos_bullish,31944,0.004209534003670597,0.0070381122930375925,0.9985419198055893,1.0,4114,0.00726226538436483,1.0,0.007258240512093508,1.0,1000
