n_trades,win_rate,avg_return,median_return,std_return,skewness,kurtosis,profit_factor,sharpe,sortino,expectancy,max_drawdown,avg_drawdown,calmar,cagr_annualized,reward_risk_ratio,ticker,signal_frequency,baseline_avg_return,excess_return_vs_baseline,p_value_vs_baseline,effect_size_vs_baseline,eligible,p_adjusted_vs_baseline,significant_vs_baseline
771,0.5265888456549935,0.002250327167983124,0.004343012984585615,0.0517919342351362,-0.2572287154142078,1.5433460057092105,1.1222240330895512,0.21811413099893395,0.3170039086756356,0.0022503271679831273,-0.8348485936309031,-0.3403959623670512,0.027291346394377768,0.0227841421556401,0.9784909056987713,KVUE,771,-0.004481892612646148,0.0067322197806292715,0.01388568233965033,0.1276542837904999,True,0.9999999999852733,False
5021,0.5012945628360884,-0.0006158413810400749,0.0004480388660543788,0.08526139708972301,0.23806022859514292,6.754810058535707,0.9795627030104587,-0.03625907271912694,-0.052172418360237914,-0.0006158413810400803,-0.9999999999514612,-0.9667426550130531,-0.10377270054525983,-0.10377270054022282,0.9671089856897058,WBD,5021,-0.0028650648687953595,0.002249223487755285,0.25192828040824145,0.028820902492892878,True,0.9999999999852733,False
5005,0.4975024975024975,0.0013871046560928865,-0.0004379042973258196,0.09287502233242632,0.6909490459066298,6.485461125124907,1.0449784345403996,0.07497398046710514,0.11373984528851498,0.0013871046560928815,-0.9999998338926973,-0.9446967301526558,-0.07036891595860774,-0.07036890426981691,1.0521128254589485,CCL,5005,-8.336926959988453e-05,0.001470473925692771,0.36108699850318315,0.016291932577437634,True,0.9999999999852733,False
4932,0.49168694241686944,-0.0009075610993579725,-0.0006234838744215709,0.05696317267055277,0.36859192161161003,6.510120455069551,0.9553290406084836,-0.0799801055178236,-0.11714359836775945,-0.0009075610993579709,-0.999998643365263,-0.9340811711375283,-0.06187569655160244,-0.06187561260888312,0.9872390003154061,BXP,4932,-0.0018490084088182254,0.000941447309460253,0.3558094195573569,0.016977884873062718,True,0.9999999999852733,False
2656,0.5015060240963856,0.0010689947083511054,0.0004803017199369597,0.07607879116617096,0.49418528560311453,4.258544410132148,1.0401394366627812,0.07053622651024857,0.10810748318322727,0.0010689947083511071,-0.9995638276687142,-0.9168488687074632,-0.044422494685626576,-0.04440311882255801,1.0315496965702207,IR,2656,0.0008990370732472712,0.0001699576351038342,0.4809776427873649,0.0022895658171931867,True,0.9999999999852733,False
2998,0.49799866577718477,-0.0001837271905792878,-0.00016539311129171175,0.04913394681441048,-0.19420465401676099,4.225218966945928,0.9899139142691936,-0.01877120070069532,-0.026928581392089472,-0.00018372719057928658,-0.9957957079507984,-0.8483048317944563,-0.03505187660498643,-0.03490450827886649,0.9952182085184592,KHC,2998,0.000533032811018864,-0.0007167600015981517,0.6170576747252008,-0.014478704463875388,True,0.9999999999852733,False
4587,0.5315020710704164,0.002161781499011369,0.0032470287364270156,0.06268803145964112,0.5339660910757223,11.209330801561377,1.1109303983512648,0.1731121036226662,0.24212763017488162,0.002161781499011365,-0.9956969740470146,-0.6482656673013394,0.004786720848350646,0.004766123464310497,0.9787852730346666,WELL,4587,0.003017388453649152,-0.000855606954637783,0.6253547918991516,-0.01439728457132374,True,0.9999999999852733,False
3323,0.5157989768281673,0.0031951527151884936,0.0029217139615158594,0.07423283581828734,0.5060819681132864,4.773954465892399,1.1292450455338476,0.21607068025911,0.3343072646140295,0.003195152715188502,-0.9774025365377793,-0.7264435814061443,0.012096149099194363,0.011822806811891745,1.0541377321202778,CFG,3323,0.004110014039643621,-0.0009148613244551276,0.6027845370035659,-0.012451005423461618,True,0.9999999999852733,False
1992,0.5200803212851406,0.0033877300680813212,0.0027691967507115223,0.07906159008158582,0.32409538565312535,4.77852165403147,1.1308670235875986,0.21510154240963264,0.32217013396844263,0.003387730068081324,-0.990197753469636,-0.706489979694811,0.0064628802330210225,0.0063995294876807345,1.042449814214437,DOW,1992,0.004421146419521327,-0.0010334163514400061,0.6087930756440703,-0.01354924989034317,True,0.9999999999852733,False
4539,0.4840273187926856,-0.0006926654646198033,-0.0016953622653465006,0.05703873525576187,0.025204328487270323,2.4309054530292213,0.9673891838661158,-0.06096125765160622,-0.09000232789291009,-0.000692665464619803,-0.9999953842603978,-0.90504935131883,-0.057140634554712064,-0.057140370808422256,1.0294746981697673,BG,4539,0.00044687755254314057,-0.0011395430171629438,0.6668357806694284,-0.020169996263099867,True,0.9999999999852733,False
4723,0.514926953207707,0.0025223638038687013,0.001962067740388651,0.06959109690065145,0.3165712963889595,3.003770442295357,1.104624629819403,0.1819509443933157,0.2771686271994975,0.0025223638038687005,-0.9984341734401277,-0.84947000245719,0.0028661281656414627,0.0028616403060357032,1.0342229778366696,NTAP,4723,0.003686936148028524,-0.0011645723441598226,0.6359464589947155,-0.016531054510497984,True,0.9999999999852733,False
4851,0.5168006596578025,0.0030411389058603365,0.0021301475984780716,0.07610890839555913,0.5517563388603896,5.244759172611747,1.1183631300480243,0.20058619244256942,0.31480572132592605,0.0030411389058603334,-0.9983856314948004,-0.8770904312494843,0.004393292337467737,0.004386199944683995,1.044311163718558,SLB,4851,0.00424325324674663,-0.0012021143408862934,0.635417436795579,-0.01605158361141171,True,0.9999999999852733,False
4589,0.49989104380039223,-2.7086343518237423e-05,0.0,0.05970305840469619,-0.06927299188898516,2.2105099176050302,0.998779250175386,-0.0022774773847998074,-0.003346206378336083,-2.7086343518240713e-05,-0.999994598954406,-0.9350619042749153,-0.04509922453720616,-0.045098980954238185,0.9979084748918852,TECH,4589,0.0012427744438759547,-0.0012698607873941922,0.6848911275724718,-0.022040146565432565,True,0.9999999999852733,False
4814,0.5002077274615704,2.1234330140700324e-05,0.0001688353000013354,0.06368453386086152,0.3122205290518544,4.722528608133844,1.0009405752928373,0.0016738050018015457,0.0024680624156375604,2.123433014069795e-05,-0.9999779783577146,-0.9217356309518241,-0.04940182945029259,-0.04940074154087619,0.9980308643181488,MET,4814,0.001429447065660748,-0.0014082127355200477,0.6780679171720873,-0.021922853928002053,True,0.9999999999852733,False
4716,0.5010602205258694,-1.3234040185350227e-06,0.00020190263004837838,0.036785841081542134,0.10133460100358495,2.4694208734956886,0.9999045374584419,-0.00018059762267907834,-0.0002784002355880118,-1.3234040185331614e-06,-0.9980680971215501,-0.8844176697434906,-0.016987141004358094,-0.01695432349775514,0.9905952273339874,VZ,4716,0.0015775195598112593,-0.0015788429638297944,0.827250517451305,-0.043741963719777364,True,0.9999999999852733,False
5198,0.5107733743747596,0.0006572599885199976,0.0018277315095238666,0.06968872352154444,0.14405664372346821,2.247626284885726,1.0260631364517518,0.0473450909972478,0.07164556634962342,0.0006572599885200092,-0.9999874209172667,-0.9134961095868115,-0.043929999686456424,-0.04392944708735589,0.9820061882199254,MCHP,5198,0.002277702868261011,-0.0016204428797410137,0.693459384004826,-0.023512215972427735,True,0.9999999999852733,False
4454,0.5105523125280647,0.0021282208764959194,0.0024003184236107145,0.07113436689741995,0.1405130900609286,2.0351888300546506,1.0840433372515934,0.15018878322770582,0.22940624531258919,0.002128220876495921,-0.9919111661446428,-0.8891049446323742,-0.010307711190459536,-0.010224333827210903,1.0325584294137868,VTRS,4454,0.0038249427457763656,-0.0016967218692804462,0.6977336971062243,-0.02419676790869872,True,0.9999999999852733,False
4903,0.4886803997552519,-0.0026839817863860576,-0.0022360314092801925,0.07400257594255912,0.5239209627298669,5.659857741010484,0.9052025211066462,-0.18206773837368226,-0.27997615260113784,-0.0026839817863860624,-0.9999999999997442,-0.9478015157219437,-0.12786727333277223,-0.12786727333273953,0.9467602328435957,EOG,4903,-0.0009519829736887657,-0.001731998812697292,0.7087212900407933,-0.02467869927279801,True,0.9999999999852733,False
4961,0.49526305180407176,0.0008558701244839751,-0.0009375255796952864,0.09489419948500703,0.3893519507936965,5.322679215347353,1.0257331417172686,0.045276043737970874,0.06840020381692659,0.0008558701244839664,-0.999999999085143,-0.954613867385826,-0.0889663391059917,-0.08896633902460023,1.0428495677695306,DVN,4961,0.002940117547981854,-0.0020842474234978787,0.691706894090323,-0.022783620881093473,True,0.9999999999852733,False
4502,0.5048867170146601,0.001007645846933663,0.0005556075289945284,0.05700057176491021,0.04971204168667013,4.240072991790706,1.0505269558593753,0.08874195204667672,0.13169128451140874,0.00100764584693366,-0.9997303816160037,-0.9079378285617165,-0.015789748709604905,-0.015785491503074112,1.028804665087096,DG,4502,0.0031368818635994903,-0.002129236016665827,0.787381430622437,-0.03751582308778008,True,0.9999999999852733,False
4787,0.4973887612283267,0.0001568464690304757,0.0,0.07938872432505885,0.30825724117142705,2.848668561682487,1.0052946117531578,0.009917819341963579,0.016114385173836957,0.00015684646903047633,-0.9999994593583194,-0.9556078297148981,-0.07281261707346294,-0.07281257770792728,1.0103611952647236,MOS,4787,0.002313628825311114,-0.002156782356280638,0.7132997527227296,-0.026807312759908195,True,0.9999999999852733,False
4536,0.5048500881834215,-3.1680192745557834e-06,0.00038776918874494637,0.06219357878805244,-0.06350113922753013,2.120044891453561,0.9998616851994194,-0.0002557069532219442,-0.0003725011907250274,-3.168019274558953e-06,-0.9999929720353584,-0.921043116754004,-0.04823565539372604,-0.04823531639524547,0.9784672648610913,DLTR,4536,0.0021723047602874896,-0.0021754727795620455,0.7613517534259767,-0.034157242346528,True,0.9999999999852733,False
4745,0.4927291886195996,-0.00041647785438260785,-0.0005133668834917948,0.042675311150903186,0.08735866087392558,3.496990655295635,0.9738835149507787,-0.04899090785299166,-0.07444367370165293,-0.00041647785438260476,-0.999511066826502,-0.9169373053938423,-0.033003125461432546,-0.032986989138565334,1.0022086129048648,MDT,4745,0.00183798532836924,-0.002254463182751848,0.8770582758902966,-0.05379237300625571,True,0.9999999999852733,False
4618,0.5023819835426592,1.2780271989279733e-05,0.00028005985411361234,0.04853496612534045,0.015309674971629057,2.3649999974287645,1.0007066612617235,0.0013218605333791377,0.0020090788293352507,1.2780271989278752e-05,-0.9996272524330669,-0.8975594067822381,-0.0291104963047577,-0.02909964543808789,0.9877664889178218,BMY,4618,0.0023322223841745243,-0.0023194421121852447,0.8659967462067628,-0.05013078901785077,True,0.9999999999852733,False
4989,0.5205451994387653,0.003097346474951866,0.0026737302877692937,0.10194807793564821,0.49573339909031966,6.934613322797681,1.0930567910590354,0.15251445852000564,0.22168033432087583,0.0030973464749518773,-0.9999998132344948,-0.9361070157106165,-0.05305957220976155,-0.05305956230006374,1.0055112336696326,RCL,4989,0.0054491322541026345,-0.0023517857791507685,0.6891564989259806,-0.023129994890709105,True,0.9999999999852733,False
2000,0.4965,0.0013580175125293195,-0.0002768592580239537,0.06095202256603629,0.40831909152443263,2.549035344574353,1.062202243373726,0.11184524354402306,0.18340236081305278,0.0013580175125293206,-0.9639448097067812,-0.7932122004863847,-0.012532754678478477,-0.012080883823647706,1.0750385242604175,FOX,2000,0.00371810444355466,-0.00236008693102534,0.7751484519192114,-0.03820632157964202,True,0.9999999999852733,False
4383,0.511521788729181,0.0031492216936457092,0.0032924457005072405,0.08230265056745598,0.0984472696611441,1.6864015013738474,1.1082548039893843,0.19208333298630112,0.29729677029741,0.0031492216936457075,-0.9989742153885394,-0.8939714017604661,-0.006467851338873828,-0.006461216716501196,1.0568460173636502,INCY,4383,0.005509429162163366,-0.0023602074685176565,0.7270266806750634,-0.028603303154705332,True,0.9999999999852733,False
4462,0.5141192290452712,0.001272584462663269,0.001819336742312161,0.06803802710464768,-0.06939085282892558,1.1577126934179445,1.050935422509111,0.09389342362862003,0.14163394621461528,0.0012725844626632656,-0.9999842612463701,-0.965171374501343,-0.026526570309960213,-0.026526152814805457,0.99229560817556,FFIV,4462,0.0036405964974440515,-0.0023680120347807825,0.783822088431178,-0.036001946421554666,True,0.9999999999852733,False
4560,0.48793859649122806,-0.00016324935562620185,-0.0007920733053222717,0.04774339468093198,0.290519792077681,8.23357520970983,0.9903839208391593,-0.01716478827565714,-0.025272238125739383,-0.00016324935562619936,-0.9992280564218685,-0.907790741100302,-0.03244508122088188,-0.03242003544879147,1.0348955577308068,LH,4560,0.002219299816029701,-0.002382549171655903,0.8426356708048024,-0.04846754333887057,True,0.9999999999852733,False
3651,0.4847986852917009,0.0006813952964794217,-0.0014451814112360628,0.06403601620310423,0.6045225212102954,4.4056388957241195,1.0300758962146341,0.05341645910868182,0.08729186607167512,0.0006813952964794187,-0.999733024993202,-0.898475388239768,-0.033284932893022486,-0.0332760466478371,1.093509948580394,IQV,3651,0.0031021257858505225,-0.0024207304893711008,0.7925778752994183,-0.03843752700294534,True,0.9999999999852733,False
