trend_regime,vol_regime,n_trades,n_tickers,n_long_trades,n_short_trades,avg_return,avg_return_long,avg_return_short,regime_null_long,matched_null_mean,excess_return_vs_matched_random,win_rate,median_return,std_return,skewness,kurtosis,profit_factor,sharpe,sortino,expectancy,max_drawdown,avg_drawdown,calmar,cagr_annualized,reward_risk_ratio,baseline_avg_return
bear,high_vol,142878,481,71900,70978,-0.0052004939388694375,0.014938436411998133,-0.025601027797633822,0.020542880696984542,0.0001325643976162871,-0.0053330583364857255,0.48243956382368175,-0.0032083571923540166,0.09578370399259586,0.021073453001980567,6.941165703578639,0.8578067009874323,-0.27255442515907347,-0.3809322148031488,-0.005200493938869441,-1.0,-0.9994515040806033,-0.23351471066883972,-0.23351471066883972,0.918038594687986,0.0216987228979425
bear,low_vol,7645,232,2943,4702,0.0020151735887824047,0.004423436555263648,0.0005078324764144129,0.002547781655048803,-0.0005862064004226087,0.0026013799892050135,0.516546762589928,0.002565501015784566,0.06308974640817186,-0.04112535002987797,3.201015921375281,1.0915886322048782,0.16034445699180078,0.23203913197091441,0.0020151735887824034,-0.9999996143145663,-0.9045927730348778,4.900545426619954e-05,4.900543536550966e-05,1.01667839687251,0.0006477638775372797
bear,normal_vol,331586,495,147174,184412,-0.0006673431172138151,0.006761063904505869,-0.006595744604180893,0.007304188939390848,-0.0008202800713089105,0.0001529369540950951,0.4939050502735339,-0.000688011723736337,0.07156412405118366,0.3701127289372654,6.184266178338699,0.9741996367794005,-0.04681166583603632,-0.06991351140402315,-0.0006673431172138193,-1.0,-0.9995251158916514,-0.07856648396837947,-0.07856648396837947,0.995417977548226,0.00751928823535166
bull,high_vol,94248,479,59032,35216,0.0009940391311123776,0.010442631669860388,-0.014844480710646275,0.011763497208658727,0.002972577131837453,-0.0019785380007250764,0.5089975384093031,0.0012101709972511254,0.0755398380419176,0.20497394042569833,6.124551143680275,1.0383553259228595,0.06605834701558852,0.094838758216266,0.0009940391311123765,-1.0,-0.9854144182522788,-0.04683373314457072,-0.04683373314457072,0.999524144093759,0.01186849349789369
bull,low_vol,91087,490,53514,37573,0.0007947344958142386,0.0051159874425470405,-0.005359885316057562,0.0050230324050288605,0.0008790734085935984,-8.433891277935952e-05,0.5142995158474865,0.0012871406702608112,0.04900125509504437,0.2499529970207144,7.486631247794353,1.0470573844363846,0.08141700653166309,0.1162561477201732,0.0007947344958142422,-1.0,-0.9869151609319844,-0.010248148678600622,-0.010248148678600622,0.9838039071287176,0.0054797466520824165
bull,normal_vol,1040719,496,617108,423611,-6.540187504001111e-07,0.0048780120293254355,-0.007107796769047212,0.005600053655268193,0.001041197078302048,-0.0010418510970524484,0.5055351156267927,0.0006576980766159757,0.05445276672089621,0.09082606262215039,7.270328679710833,0.9999661594933241,-6.029350330735965e-05,-8.597693386442265e-05,-6.540187503963069e-07,-1.0,-0.9972702168434177,-0.03720913172358542,-0.03720913172358542,0.9750354286447079,0.006056210788492068
sideways,high_vol,73227,485,37050,36177,-0.004295292655308494,0.010963511837835421,-0.019922312763968195,0.015471948297368027,0.00018445397003294145,-0.004479746625341436,0.4801644202275117,-0.002931581453949228,0.08429679212816865,0.04669556919938934,4.227125133228624,0.8663472782429599,-0.25578906928021655,-0.3626986484101964,-0.004295292655308494,-1.0,-0.9996348097817414,-0.18224201592123948,-0.18224201592123948,0.9358797721766259,0.01581722841222031
sideways,low_vol,13549,363,6059,7490,0.0007898423703268191,0.0069372170852420815,-0.004183047268881669,0.004618517088851771,-0.00048779230601128393,0.0012776346763381029,0.5154623957487637,0.0018073765982847823,0.05405931957450197,-0.07638757480071011,2.9685082092856927,1.0405747107288765,0.07334493408907783,0.10627319024616586,0.0007898423703268202,-0.9999993531040599,-0.9418043694298048,-0.017153637071685775,-0.017153625975067595,0.9714414538877827,0.004671343830069206
sideways,normal_vol,403186,496,194027,209159,-0.0009617857297568382,0.0042484932417017,-0.0057951173004527476,0.005194814461092804,-0.00019496691954893323,-0.0007668188102079044,0.49032952533074065,-0.0010569729197581479,0.06458419825261935,0.41770327284092595,8.447980181692945,0.9587257404124563,-0.07475707952873586,-0.1114236465964815,-0.0009617857297568345,-1.0,-0.998813063109682,-0.07559964521490088,-0.07559964521490088,0.9932593428357827,0.005337815488178555
