n_trades,win_rate,avg_return,median_return,std_return,skewness,kurtosis,profit_factor,sharpe,sortino,expectancy,max_drawdown,avg_drawdown,calmar,cagr_annualized,reward_risk_ratio,sector,n_tickers,matched_null_mean,excess_return_vs_matched_random,matched_null_se,p_value_vs_matched_random,n_long_trades,n_short_trades,avg_return_long,avg_return_short
94738,0.5028394097405476,0.001051591992341317,0.0005199044165854483,0.08237743123986438,0.6049915861555402,11.395621591666877,1.038455547544439,0.06408247775923896,0.09425973642510473,0.0010515919923413178,-1.0,-0.9968125504933513,-0.06064703147294752,-0.06064703147294752,1.02422087202182,Energy,21,0.0005161484623826638,0.0005354435299586523,0.0020369489857619987,0.7926542800720122,50277,44461,0.007651945916664433,-0.006412162629758801
110445,0.4984200280682693,-0.000456069715190856,0.0,0.06473643729752078,0.009630221259841481,3.4703433337594003,0.9807668697413663,-0.03536573675742731,-0.05138905253235762,-0.0004560697151908613,-1.0,-0.9985224500074127,-0.06301887027243132,-0.06301887027243132,0.9806956034377955,Materials,25,0.00039944540783223506,-0.0008555151230230909,0.0009229616590409389,0.3539661020681065,58709,51736,0.0054980566545806036,-0.007212695759780941
350083,0.5055601100310497,-0.00045025234032687833,0.0007342245181289897,0.060903173621282,0.17569451710134265,6.778110436782441,0.979452116488193,-0.037112167981336076,-0.05300713490094317,-0.00045025234032688294,-1.0,-0.9965159018911992,-0.05694229370024652,-0.05694229370024652,0.9556282337307084,Industrials,80,0.0007015055956733207,-0.0011517579360001986,0.0009609746237402196,0.23071033803686158,190600,159483,0.007103549465531395,-0.009477889293460358
344829,0.4976843594941261,-0.0006105820195166261,-0.00017950808443800703,0.059385691054924444,0.12191428042449735,5.8446099624680485,0.9712996032424495,-0.05161339975087975,-0.07401220892567717,-0.0006105820195166228,-1.0,-0.9990541137735878,-0.05864233379228082,-0.05864233379228082,0.9774460660962703,Financials,76,0.000568048603612947,-0.0011786306231295724,0.0010543750830520112,0.26363210124689296,187020,157809,0.005330052690918995,-0.007650849073649595
210434,0.49814668732239087,-0.0006442069594780693,-0.00015501642080500977,0.07566046991918088,0.33209671792163514,9.845905215017316,0.9754761702618429,-0.04274217797373624,-0.06079637454801771,-0.0006442069594780678,-1.0,-0.9995749890585627,-0.0897813601057191,-0.0897813601057191,0.9804360450913195,Consumer Discretionary,47,0.0006444309046972693,-0.0012886378641753392,0.001212985744370282,0.28806842128752297,113005,97429,0.0067975788805953894,-0.00927571307015868
315884,0.5055020197287612,-0.00041131101274053614,0.000878956416587473,0.07641740425354449,0.09886031318110018,5.741128705819907,0.9850450960406897,-0.027019563372616864,-0.038707332880081095,-0.0004113110127405284,-1.0,-0.9977208452419117,-0.08466227866519897,-0.08466227866519897,0.9606780611624287,Information Technology,72,0.0009656215648302425,-0.001376932577570778,0.0009534475400974006,0.14869344924533662,171809,144075,0.00944758262548214,-0.012168011738677719
153556,0.49449060928911925,-0.001040411978175813,-0.00037766646906445267,0.0469272772727503,-0.03256619296946909,5.318061051851272,0.9402441682530236,-0.11129617960244331,-0.1584878381174154,-0.0010404119781758162,-1.0,-0.9959113856699419,-0.05288355982895119,-0.05288355982895119,0.9582238676196068,Consumer Staples,34,0.00041806835776702495,-0.0014584803359428376,0.0005235750321241348,0.005342569564290667,82461,71095,0.003654370901955364,-0.0064857525939504375
257857,0.4957360087180104,-0.0010115475004946217,-0.0004075795006153182,0.06068965598361098,0.037421374252731135,6.180988571227722,0.9542505946269533,-0.0836704059254698,-0.11905149174757544,-0.001011547500494623,-1.0,-0.9984543488923058,-0.07023061605722314,-0.07023061605722314,0.968426735246035,Health Care,59,0.0005286142656248068,-0.0015401617661194285,0.0006972348827038846,0.02717764277080254,139035,118822,0.005017769614325079,-0.008066521369466336
132019,0.4973450791173998,-0.001108964003162457,-0.00017243426579571786,0.054847239184820866,0.24001782977129296,8.167795181820768,0.9446679138326277,-0.10149927683886206,-0.145745710128593,-0.0011089640031624569,-1.0,-0.9976749009825895,-0.06410225728499984,-0.06410225728499984,0.9520343064350478,Real Estate,29,0.00043648224520867116,-0.0015454462483711286,0.0008963157792518324,0.08466800296225892,71193,60826,0.003796346304389926,-0.006850320606022695
88478,0.49591988969009243,-0.0009874666192739741,-0.00025120397319677856,0.07194776590096266,-0.05638718167026446,8.34067716256256,0.9609140072863507,-0.06889780419482541,-0.09416942427772139,-0.0009874666192739787,-1.0,-0.9991104999258654,-0.08893188946820521,-0.08893188946820521,0.9719076449101656,Communication Services,22,0.0006187242546739156,-0.0016061908739478895,0.0009418833258374174,0.08813903415116359,47292,41186,0.006070424961973329,-0.009091720702223215
139802,0.48878413756598615,-0.0016905949186699868,-0.0008642090971885952,0.047481358547604324,-0.05379980369534342,16.222120515576066,0.9010445074377019,-0.17873791729375496,-0.24397121280711576,-0.0016905949186699822,-1.0,-0.9966744151866718,-0.07159881667768386,-0.07159881667768386,0.9379919078129298,Utilities,31,0.0005767244382416651,-0.002267319356911652,0.0007817249619368401,0.003726802271792419,77406,62396,0.003219833295031452,-0.007782277178907399
