signal,n_trades_full,n_tickers_full,mean_return_full,matched_null_mean_full,excess_return_vs_matched_random_full,p_value_vs_matched_random_full,p_value_vs_matched_random_srs_full,p_adj_vs_matched_random_full,reject_vs_matched_random_full,beats_matched_random_full,n_trades_aware,n_tickers_aware,mean_return_aware,matched_null_mean_aware,excess_return_vs_matched_random_aware,p_value_vs_matched_random_aware,p_value_vs_matched_random_srs_aware,p_adj_vs_matched_random_aware,reject_vs_matched_random_aware,beats_matched_random_aware,excess_delta_bps,sign_preserved
ict_bos_bearish,42496,496,-0.011988047447663911,-0.007061610474059497,-0.004926436973604414,0.9456270453972005,1.0,0.9975581113916033,False,False,34732,487,-0.011052191896198613,-0.005934474510481235,-0.005117717385717378,0.9499583079323256,1.0,0.9986012142511679,False,False,-1.9128041211296383,True
ict_bos_bullish,80739,496,0.004352096135933683,0.007234870611766931,-0.002882774475833248,0.9955133642751877,1.0,0.9975581113916033,False,False,63532,492,0.00345282259519891,0.0063938406697044495,-0.0029410180745055394,0.9961848953480513,1.0,0.9986012142511679,False,False,-0.5824359867229135,True
ict_bpr_bearish,26182,496,-0.007852787976803088,-0.007162517339279588,-0.0006902706375234999,0.6290848679674815,0.9658887329866197,0.9975581113916033,False,False,21267,489,-0.00708158295427936,-0.006177257015650504,-0.0009043259386288562,0.6666099226800167,0.9882826752949448,0.9986012142511679,False,False,-2.1405530110535627,True
ict_bpr_bullish,26830,496,0.006190668484569056,0.0072374171347075935,-0.0010467486501385377,0.7135917484107772,0.9972843311401228,0.9975581113916033,False,False,21620,489,0.0053493526974300095,0.006239200228653796,-0.0008898475312237863,0.6833287825394229,0.9873637773675815,0.9986012142511679,False,False,1.569011189147514,True
ict_displacement_bearish,190415,496,-0.009015994204249776,-0.007124264830897042,-0.0018917293733527341,0.8655032700083818,1.0,0.9975581113916033,False,False,152817,494,-0.007936444034181785,-0.006133674672326717,-0.0018027693618550677,0.8519105673558411,1.0,0.9986012142511679,False,False,0.8896001149766644,True
ict_displacement_bullish,212461,496,0.005663123635550696,0.007213673206746507,-0.0015505495711958112,0.8707411111270555,1.0,0.9975581113916033,False,False,168946,494,0.004709922950964465,0.006283968243773741,-0.0015740452928092756,0.8727333233667254,1.0,0.9986012142511679,False,False,-0.2349572161346441,True
ict_fvg_bearish_formed,90730,496,-0.008777823080069976,-0.007119627598960107,-0.0016581954811098684,0.7591640424956594,0.9999999999999999,0.9975581113916033,False,False,73326,493,-0.0074604201253340345,-0.006089492660248003,-0.0013709274650860314,0.715102014248759,0.9999999999491758,0.9986012142511679,False,False,2.87268016023837,True
ict_fvg_bullish_formed,112181,496,0.005641996502350616,0.007271679791209652,-0.0016296832888590363,0.8899914145610488,1.0,0.9975581113916033,False,False,89181,494,0.004592989544190623,0.006354069848574396,-0.0017610803043837733,0.9093993008894732,1.0,0.9986012142511679,False,False,-1.31397015524737,True
ict_liquidity_buyside_pool_formed,58941,496,0.0074293430878938985,0.0068457043410420386,0.0005836387468518599,0.3491404443990748,0.007701695661973962,0.9975581113916033,False,False,48060,486,0.006677245902227527,0.005973624440859426,0.0007036214613681015,0.31796186791237147,0.002953486325254412,0.9986012142511679,False,False,1.1998271451624156,True
ict_liquidity_buyside_swept,44261,496,0.006416726732818477,0.006867581512850044,-0.0004508547800315668,0.6307723468688093,0.9476013154954124,0.9975581113916033,False,False,35974,484,0.005782297520431801,0.006023280369188559,-0.0002409828487567574,0.5716714289023881,0.7926680009250293,0.9986012142511679,False,False,2.0987193127480936,True
ict_liquidity_sellside_pool_formed,51635,495,-0.008229674778572293,-0.0068871074769137315,-0.0013425673016585612,0.7271513272253673,0.9999998401006973,0.9975581113916033,False,False,42255,485,-0.007175705075312223,-0.005931325855037458,-0.001244379220274765,0.7091273514376351,0.9999961689396349,0.9986012142511679,False,False,0.9818808138379632,True
ict_liquidity_sellside_swept,32884,495,-0.008845383052689233,-0.00687062326313414,-0.0019747597895550936,0.768503010313321,0.9999999984340966,0.9975581113916033,False,False,27143,486,-0.007843476459099758,-0.005890047786723128,-0.00195342867237663,0.7681563583126347,0.9999999864467102,0.9986012142511679,False,False,0.21331117178463416,True
ict_mss_bearish,36553,496,-0.008462370119570871,-0.007105144279381452,-0.001357225840189419,0.733028156205688,0.9999907479027119,0.9975581113916033,False,False,29218,493,-0.0070619762970058,-0.006167399591569158,-0.0008945767054366425,0.661224076212559,0.9960321528326751,0.9986012142511679,False,False,4.626491347527765,True
ict_mss_bullish,36506,496,0.006759523312652582,0.007115122545697796,-0.00035559923304521405,0.5823625832517776,0.868734160506178,0.9975581113916033,False,False,29160,493,0.005802231890086391,0.0061882460818117315,-0.00038601419172534096,0.589130631776993,0.8736924363977043,0.9986012142511679,False,False,-0.30414958680126913,True
ict_nwog_gap_down,130643,496,-0.007314332473051956,-0.007106964145741911,-0.00020736832731004483,0.5375617473486276,0.8978668977720463,0.9975581113916033,False,False,104933,493,-0.00624820243494009,-0.006177216876964718,-7.098555797537161e-05,0.5130402017445961,0.6586768944286272,0.9986012142511679,False,False,1.3638276933467322,True
ict_nwog_gap_up,147321,496,0.007667228761261797,0.007187588352651436,0.0004796404086103616,0.39414409186408556,0.0009120234424570277,0.9975581113916033,False,False,117614,493,0.006706237555617161,0.00627996017037658,0.00042627738524058083,0.40568616598026797,0.004664745367267603,0.9986012142511679,False,False,-0.5336302336978078,True
ict_ob_bearish_formed,22431,496,-0.008674436595598118,-0.007026705567538056,-0.0016477310280600625,0.6952666059158841,0.9999707566673388,0.9975581113916033,False,False,18131,488,-0.007794902545349668,-0.005978237564530634,-0.0018166649808190336,0.711984529875397,0.9999860108870634,0.9986012142511679,False,False,-1.6893395275897112,True
ict_ob_bearish_mitigated,20124,496,0.006839692640547141,0.007084816954897957,-0.00024512431435081555,0.5764463144354228,0.7147832747714322,0.9975581113916033,False,False,16185,484,0.006028084339236305,0.006162706923864941,-0.00013462258462863547,0.5419821624383605,0.6159427413392213,0.9986012142511679,False,False,1.1050172972218009,True
ict_ob_bullish_formed,32541,496,0.005528023388009605,0.00719056218329462,-0.0016625387952850148,0.9200813439356026,0.9999996734906993,0.9975581113916033,False,False,25576,488,0.004416056589110173,0.006292931306604509,-0.0018768747174943362,0.9418668952837537,0.9999999257067366,0.9986012142511679,False,False,-2.1433592220932147,True
ict_ob_bullish_mitigated,20562,496,-0.009388512304144128,-0.006976281860145453,-0.002412230443998675,0.6395737611898138,0.99999999182724,0.9975581113916033,False,False,16876,485,-0.007868034525157188,-0.0059250141895875715,-0.0019430203355696165,0.6082570024756306,0.9999917591683414,0.9986012142511679,False,False,4.692101084290585,True
ict_sweep_buyside_bearish,65448,496,-0.005924371965095586,-0.00706117596803172,0.001136804002936134,0.22914358430611959,4.565745182843095e-07,0.9975581113916033,False,False,51711,491,-0.004806292284645413,-0.006149454255072918,0.0013431619704275047,0.19048480921758343,2.808171420213109e-08,0.9986012142511679,False,False,2.063579674913708,True
ict_sweep_sellside_bullish,49304,496,0.00821613475931871,0.007023697347325272,0.0011924374119934387,0.2877383658902578,5.432215990665423e-06,0.9975581113916033,False,False,39799,486,0.007615186713064592,0.006050544733340092,0.0015646419797244997,0.2320931059989872,2.4767539527079208e-08,0.9986012142511679,False,False,3.7220456773106108,True
ict_volume_imbalance_bearish,84642,496,-0.009396932687033536,-0.007080767645300632,-0.002316165041732904,0.8368065204248392,1.0,0.9975581113916033,False,False,68120,493,-0.008377727749908382,-0.006152875660768661,-0.002224852089139721,0.8278489729855312,1.0,0.9986012142511679,False,False,0.913129525931828,True
ict_volume_imbalance_bullish,117546,496,0.0050128544465555605,0.0070932330694562,-0.00208037862290064,0.9388116076459883,1.0,0.9975581113916033,False,False,94229,494,0.00394146283014955,0.00626087401161018,-0.00231941118146063,0.9595137765509208,1.0,0.9986012142511679,False,False,-2.390325585599901,True
smc_equal_highs,10483,495,-0.0075341879060914245,-0.006956327774056366,-0.0005778601320350586,0.6596190839022802,0.8370967115624752,0.9975581113916033,False,False,8423,478,-0.006210911233242915,-0.005983161960601975,-0.00022774927264093952,0.56522850331431,0.6423288790843622,0.9986012142511679,False,False,3.501108593941191,True
smc_equal_lows,9341,495,0.005974045072359006,0.007007711115063904,-0.0010336660427048986,0.7637588658413266,0.9482885402630774,0.9975581113916033,False,False,7500,481,0.005048543253837558,0.005988361280897247,-0.0009398180270596889,0.7459660635422551,0.9189148831518548,0.9986012142511679,False,False,0.9384801564520963,True
smc_fvg_bearish_formed,67673,496,-0.010898351237571173,-0.006958939978084363,-0.00393941125948681,0.8643675806090696,1.0,0.9975581113916033,False,False,55648,494,-0.009629362214845887,-0.005989178854261074,-0.003640183360584813,0.8385732574479565,1.0,0.9986012142511679,False,False,2.992278989019971,True
smc_fvg_bullish_formed,68004,496,0.006533482628707819,0.007134278910020773,-0.0006007962813129545,0.6208846896604783,0.9954020380942399,0.9975581113916033,False,False,54721,494,0.005600507228227528,0.0062131390680069684,-0.0006126318397794402,0.6216297186081214,0.9936949612129337,0.9986012142511679,False,False,-0.118355584664857,True
smc_internal_bos_bearish,16549,495,-0.010346679410685289,-0.007049589381407382,-0.0032970900292779073,0.827458861687547,0.999999999994352,0.9975581113916033,False,False,13347,483,-0.009514413738596048,-0.005899973239907064,-0.0036144404986889842,0.8476547449577382,0.9999999999991336,0.9986012142511679,False,False,-3.1735046941107696,True
smc_internal_bos_bullish,31944,496,0.004209534003670597,0.00725956806702885,-0.0030500340633582528,0.9975581113916033,1.0,0.9975581113916033,False,False,24811,490,0.0031346754579043906,0.006398382862125236,-0.0032637074042208454,0.9986012142511679,1.0,0.9986012142511679,False,False,-2.1367334086259264,True
smc_internal_choch_bearish,26315,496,-0.007668395934575993,-0.007083410309922026,-0.0005849856246539671,0.5940727267925553,0.9411939898974524,0.9975581113916033,False,False,21058,490,-0.0067375089353498676,-0.006137809871003798,-0.0005996990643460697,0.5988962838592068,0.934516684367053,0.9986012142511679,False,False,-0.1471343969210257,True
smc_internal_choch_bullish,26396,496,0.006395166219152226,0.007081836088415627,-0.0006866698692634008,0.6652689372643187,0.9671142148794577,0.9975581113916033,False,False,21069,491,0.00554929746380859,0.006149350246547956,-0.0006000527827393657,0.6451381679356489,0.9347912358506484,0.9986012142511679,False,False,0.866170865240351,True
smc_internal_ob_bearish_formed,42864,496,-0.008702431797914289,-0.0070703526730708545,-0.001632079124843434,0.728618044567968,0.9999999846653034,0.9975581113916033,False,False,34405,490,-0.007814775274804214,-0.006045544051638939,-0.001769231223165275,0.7479217166694394,0.9999999927161981,0.9986012142511679,False,False,-1.3715209832184088,True
smc_internal_ob_bearish_mitigated,38121,496,0.007010092609640467,0.007107320063415417,-9.722745377494998e-05,0.5314003006901145,0.6223368070511843,0.9975581113916033,False,False,30513,489,0.00625798362044713,0.006169827694080982,8.81559263661482e-05,0.47101567328243976,0.39487546626628856,0.9986012142511679,False,False,1.8538338014109819,False
smc_internal_ob_bullish_formed,58340,496,0.005198425809633111,0.007179153029190746,-0.001980727219557635,0.9524792267482451,0.9999999999999992,0.9975581113916033,False,False,45880,494,0.0042435174597002835,0.00628402217821944,-0.0020405047185191568,0.957139959116211,0.9999999999999923,0.9986012142511679,False,False,-0.5977749896152185,True
smc_internal_ob_bullish_mitigated,39612,496,-0.007923058038399074,-0.007025637809861528,-0.000897420228537546,0.5720781681079414,0.9983486899210282,0.9975581113916033,False,False,32099,491,-0.006825854946831484,-0.006020519754892659,-0.000805335191938825,0.5629772651130032,0.9935817954834246,0.9986012142511679,False,False,0.9208503659872102,True
smc_swing_bos_bearish,1245,445,-0.007586857160545146,-0.006712994705132081,-0.0008738624554130653,0.559137033490487,0.6810424519010012,0.9975581113916033,False,False,1025,393,-0.007597701596591714,-0.005329571788605496,-0.0022681298079862177,0.6334379056422129,0.8783128010694812,0.9986012142511679,False,False,-13.942673525731523,True
