signal,cost_bps,n_trades,mean_net_return
ict_ob_bearish_mitigated,10.0,20124,0.005839692640547142
ict_ob_bullish_formed,10.0,32541,0.004528023388009605
ict_ob_bullish_mitigated,10.0,20562,-0.010388512304144129
ict_sweep_buyside_bearish,10.0,65448,-0.006924371965095585
ict_sweep_sellside_bullish,10.0,49304,0.00721613475931871
ict_volume_imbalance_bearish,10.0,84642,-0.010396932687033535
ict_volume_imbalance_bullish,10.0,117546,0.0040128544465555605
smc_equal_highs,10.0,10483,-0.008534187906091424
smc_equal_lows,10.0,9341,0.004974045072359006
smc_fvg_bearish_formed,10.0,67673,-0.011898351237571173
smc_fvg_bullish_formed,10.0,68004,0.0055334826287078195
smc_internal_bos_bearish,10.0,16549,-0.01134667941068529
smc_internal_bos_bullish,10.0,31944,0.003209534003670597
smc_internal_choch_bearish,10.0,26315,-0.008668395934575992
smc_internal_choch_bullish,10.0,26396,0.005395166219152226
smc_internal_ob_bearish_formed,10.0,42864,-0.009702431797914288
smc_internal_ob_bearish_mitigated,10.0,38121,0.006010092609640467
smc_internal_ob_bullish_formed,10.0,58340,0.004198425809633111
smc_internal_ob_bullish_mitigated,10.0,39612,-0.008923058038399073
smc_swing_bos_bearish,10.0,1245,-0.008586857160545146
smc_swing_bos_bullish,10.0,4576,0.0051220591295340805
smc_swing_choch_bearish,10.0,2653,-0.004683011440427951
smc_swing_choch_bullish,10.0,2699,0.006339301226392546
smc_swing_ob_bearish_formed,10.0,3898,-0.005929878531640344
smc_swing_ob_bearish_mitigated,10.0,3356,0.005549631324075805
smc_swing_ob_bullish_formed,10.0,7275,0.00557365176450604
smc_swing_ob_bullish_mitigated,10.0,3405,-0.011515017326172647
ict_bos_bearish,20.0,42496,-0.013988047447663911
ict_bos_bullish,20.0,80739,0.0023520961359336833
ict_bpr_bearish,20.0,26182,-0.009852787976803088
ict_bpr_bullish,20.0,26830,0.004190668484569056
ict_displacement_bearish,20.0,190415,-0.011015994204249776
ict_displacement_bullish,20.0,212461,0.0036631236355506953
ict_fvg_bearish_formed,20.0,90730,-0.010777823080069976
ict_fvg_bullish_formed,20.0,112181,0.0036419965023506157
ict_liquidity_buyside_pool_formed,20.0,58941,0.005429343087893899
ict_liquidity_buyside_swept,20.0,44261,0.004416726732818477
ict_liquidity_sellside_pool_formed,20.0,51635,-0.010229674778572293
ict_liquidity_sellside_swept,20.0,32884,-0.010845383052689235
ict_mss_bearish,20.0,36553,-0.010462370119570873
ict_mss_bullish,20.0,36506,0.004759523312652582
ict_nwog_gap_down,20.0,130643,-0.009314332473051957
ict_nwog_gap_up,20.0,147321,0.005667228761261797
ict_ob_bearish_formed,20.0,22431,-0.010674436595598117
ict_ob_bearish_mitigated,20.0,20124,0.004839692640547142
ict_ob_bullish_formed,20.0,32541,0.0035280233880096053
ict_ob_bullish_mitigated,20.0,20562,-0.011388512304144128
ict_sweep_buyside_bearish,20.0,65448,-0.007924371965095586
