signal,direction,n_trades,n_tickers,n_entry_dates,win_rate,avg_return,median_return,std_return,skewness,kurtosis,profit_factor,expectancy,sharpe,sortino,max_drawdown,calmar,reward_risk_ratio,avg_mfe,avg_mae,median_mfe,median_mae,mean_return,ci_lower,ci_upper,ci_method,hac_ci_lower,hac_ci_upper,hac_se,effect_size_cohens_d,cohens_d_ci_lower,cohens_d_ci_upper,p_value_vs_zero,p_adj_vs_zero,reject_vs_zero,matched_null_mean,excess_return_vs_matched_random,p_value_vs_matched_random,p_adj_vs_matched_random,reject_vs_matched_random,p_value_vs_baseline_welch,p_adj_vs_baseline_welch,beats_matched_random,significance_label,low_sample_warning,statistically_significant
smc_swing_choch_bearish,-1,2653,492,1074,0.4327176781002638,-0.0036830114404279,-0.0113944203566098,0.0976920289258381,1.202769659965989,6.497611315435233,0.89361332827171,-0.0036830114404279,-0.1892536259112595,-0.332993194067239,-0.999999999730222,-0.1889929176908929,1.1683916426270355,0.0685699162780855,-0.0628431746893945,0.0397375052236202,-0.0495280689518853,-0.0036830114404279,-0.007337406828928,-5.032279560325773e-05,percentile_bootstrap_full,-0.0262911578411845,0.0189251349603286,0.0115349804388022,-0.037700224684901,-0.0768778116354144,-0.000502105339022,0.7495061196273927,0.7691724609587236,False,-0.00693709603532,0.0032540845948921,0.3888673308758015,0.9998391245174338,False,0.9999999976246802,1.0,False,not_significant,False,False
smc_swing_ob_bearish_formed,-1,3898,493,1404,0.4340687532067727,-0.0049298785316403,-0.0110619449736294,0.0949930739266659,1.0817572372836073,6.523256812867452,0.8574710077285748,-0.0049298785316403,-0.2605220864592403,-0.4379973747434125,-1.0,-0.2101077673956773,1.1154218014247002,0.0651312142717726,-0.0632222042344697,0.0389593609023742,-0.0492921701049456,-0.0049298785316403,-0.0078346867109978,-0.0019588254427374,percentile_bootstrap_full,-0.0228897603898492,0.0130300033265685,0.0091633733365556,-0.0518972418499287,-0.0844637341605148,-0.02017105467595,0.5905782784196297,0.6168651454116014,False,-0.0068655192892749,0.0019356407576345,0.4163150161081674,0.9998391245174338,False,0.9999999999999996,1.0,False,not_significant,False,False
ict_sweep_sellside_bullish,1,49304,496,3919,0.5713126723998053,0.0082161347593187,0.0086263406640452,0.0645726675960576,-0.0888967881455966,5.057693132505728,1.430811939083666,0.0082161347593187,0.6387326200064395,0.8885175686229371,-0.977364704108919,0.1696045602124905,1.0701120108163729,0.0481248762801445,-0.0421664708498894,0.0368662767140955,-0.02949630472027,0.0080533378970808,0.007137209398888,0.0089612901778964,percentile_bootstrap_subsample_20000,0.0038785889656614,0.0122280868285001,0.0021300130672906,0.1250551317759238,0.1104537029131403,0.1394277772385213,0.0001146386359079,0.0002445624232702,True,0.0070236973473252,0.0011924374119934,0.2877383658902578,0.9998391245174338,False,0.0108275056206195,0.4764102473072608,False,not_significant,False,False
ict_sweep_buyside_bearish,-1,65448,496,4002,0.4374006845128957,-0.0059243719650955,-0.0070083849200612,0.0598007936959238,-0.1295249340908617,6.739210841442475,0.7575630903599136,-0.0059243719650955,-0.4973196741218968,-0.7085879283675619,-1.0,-0.1785171652381878,0.971782995221181,0.0394736066400471,-0.0444525306531628,0.0280736359280096,-0.0337668643843902,-0.0060990729662497,-0.0069283779055169,-0.0052716692587429,percentile_bootstrap_subsample_20000,-0.0091036069886249,-0.0030945389438744,0.001532953677912,-0.1013994522406228,-0.1153390194274794,-0.0877076651457244,0.0001112359618107,0.0002387503570571,True,-0.0070611759680317,0.0011368040029361,0.2291435843061195,0.9998391245174338,False,1.0,1.0,False,not_significant,False,False
ict_liquidity_buyside_pool_formed,1,58941,496,3921,0.5715885376902327,0.0074293430878938,0.0082209481025341,0.0589150908181834,0.3193451941537626,7.9428310952307,1.4210232037483297,0.0074293430878939,0.6330297686442288,0.9248060369387572,-0.97432323979769,0.1580934496181777,1.0608113260394922,0.0444532164708567,-0.0384280460766207,0.0341600627111147,-0.0273866544584705,0.0070470990886488,0.0062126833418382,0.0078935599500945,percentile_bootstrap_subsample_20000,0.0040948650200064,0.0099993331572912,0.0015062695379315,0.1181210398281187,0.1044107342065029,0.1320353040575441,8.127530469647933e-07,3.143835961885794e-06,True,0.006845704341042,0.0005836387468518,0.3491404443990748,0.9998391245174338,False,0.5811962173891718,1.0,False,not_significant,False,False
ict_nwog_gap_up,1,147321,496,852,0.5698101424779902,0.0076672287612617,0.0077030577821652,0.0626270769931437,0.273657420852985,9.167622746447536,1.422551822118206,0.0076672287612618,0.6145773483449405,0.8668557081569581,-0.9782099674444872,0.1573768591118484,1.0700362106618606,0.0461138679180228,-0.0397383051846425,0.0341561689600804,-0.0275737327899682,0.0074665450375719,0.0066043325111398,0.0083264824473735,percentile_bootstrap_subsample_20000,0.0039665788584739,0.0109665112166699,0.0017857298292713,0.1213562526022578,0.1073885766820142,0.1354652245117392,1.7579057598261486e-05,4.68774869286973e-05,True,0.0071875883526514,0.0004796404086103,0.3941440918640855,0.9998391245174338,False,0.1912768934664974,1.0,False,not_significant,False,False
smc_swing_choch_bullish,1,2699,492,1484,0.5694701741385698,0.0073393012263925,0.0067255450539571,0.0547620413913131,0.7205339630837233,6.088822302051467,1.461349097069841,0.0073393012263925,0.6727835343029294,1.0861866258986348,-0.8321065295851136,0.1910962103591328,1.1000526384579092,0.042633191003495,-0.0364681624861527,0.0316150050308861,-0.0276766085085344,0.0073393012263925,0.0052983725834218,0.0093900039061717,percentile_bootstrap_full,0.0040236348651773,0.0106549675876077,0.0016916975828204,0.1340216880146614,0.0974794858203561,0.1699366885099465,1.43508157849647e-05,3.946474340865293e-05,True,0.006946761869472,0.0003925393569204,0.4080225621291151,0.9998391245174338,False,0.5548044288277253,1.0,False,not_significant,False,False
smc_internal_ob_bearish_mitigated,1,38121,496,3889,0.5682956900396107,0.0070100926096404,0.0072773665445091,0.0575051853262368,0.4300685605469397,6.076054577731437,1.4118173638382117,0.0070100926096404,0.6119515207730849,0.9074075954797493,-0.964222297943116,0.1499752944690188,1.0681821644512612,0.0435598981170441,-0.0377745314335342,0.0326794762374378,-0.0271184004506785,0.0070241118846882,0.0062237993709534,0.0078186102025281,percentile_bootstrap_subsample_20000,0.0045974413869975,0.0094507823823789,0.0012381199336777,0.1218108242935221,0.1080851999935177,0.1354544394574107,1.4971920203631086e-08,1.25478950278051e-07,True,0.0071073200634154,-9.722745377494998e-05,0.5314003006901145,0.9998391245174338,False,0.9304581883095708,1.0,False,not_significant,False,False
ict_nwog_gap_down,-1,130643,496,851,0.4280826374164708,-0.0073143324730519,-0.0082813373595631,0.0656073252438814,0.0594386999906431,7.907816008093292,0.7252241865302055,-0.0073143324730519,-0.5596578959652143,-0.7938501448836243,-1.0,-0.2163129814437751,0.966602490147007,0.041349732197323,-0.0477834915961171,0.0285865881572264,-0.0356007343885758,-0.006786289095326,-0.0077055922904737,-0.0058487306621601,percentile_bootstrap_subsample_20000,-0.0110945257242533,-0.0024780524663987,0.0021981202863559,-0.1031901606454811,-0.1176016204567286,-0.0888382192410627,0.0008761651052321,0.0016147126546686,True,-0.0071069641457419,-0.00020736832731,0.5375617473486276,0.9998391245174338,False,1.0,1.0,False,not_significant,False,False
ict_ob_bearish_mitigated,1,20124,496,3504,0.565742397137746,0.0068396926405471,0.0067156232497617,0.0556801066531022,0.445062230904846,5.789177625779551,1.4168289770427545,0.0068396926405471,0.6166472483729984,0.92269635073507,-0.9291117035228452,0.1535851156839492,1.0826888098613934,0.0426019897981204,-0.036902878432104,0.0315680441029165,-0.0267740743089594,0.0067933578110132,0.006031361346093,0.007560381915779,percentile_bootstrap_subsample_20000,0.0042937851581826,0.0092929304638438,0.0012753155939755,0.1219528539777509,0.1083842058138606,0.1354375248817312,8.178878554014377e-08,4.362068562141001e-07,True,0.0070848169548979,-0.0002451243143508,0.5764463144354228,0.9998391245174338,False,0.9410394347236616,1.0,False,not_significant,False,False
