holding_period,signal,direction,n_trades,n_tickers,n_entry_dates,win_rate,avg_return,median_return,std_return,skewness,kurtosis,profit_factor,expectancy,sharpe,sortino,max_drawdown,calmar,reward_risk_ratio,avg_mfe,avg_mae,median_mfe,median_mae,mean_return,ci_lower,ci_upper,ci_method,hac_ci_lower,hac_ci_upper,hac_se,effect_size_cohens_d,cohens_d_ci_lower,cohens_d_ci_upper,p_value_vs_zero,p_adj_vs_zero,reject_vs_zero,matched_null_mean,excess_return_vs_matched_random,p_value_vs_matched_random,p_adj_vs_matched_random,reject_vs_matched_random,p_value_vs_baseline_welch,p_adj_vs_baseline_welch,beats_matched_random,significance_label,low_sample_warning,statistically_significant
1,smc_swing_ob_bearish_mitigated,1,3858,492,1744,0.5181441161223432,0.0018331755140295,0.0007991972702439,0.0323799985047451,0.4617024638667284,9.94151344939837,1.190407441684444,0.0018331755140295,0.8987263885656669,1.2475206151852698,-0.7314889836782956,0.5352869136821389,1.0945317047603844,0.0180468953959343,-0.0171513980273536,0.012188634947906,-0.0115052037655357,0.0018331755140295,0.0008422092374018,0.0028627016674982,percentile_bootstrap_full,-0.0008037314190642,0.0044700824471233,0.0013453853913101,0.0566144409722847,0.0260637829662387,0.0877864905048211,0.173019535947858,0.1933424655671302,False,0.0007069233609797,0.0011262521530498,0.0003736050536444,0.0054401039793473,True,0.0217785200283586,0.589695311537097,True,significant_but_negligible_effect,False,True
1,ict_mss_bearish,-1,36634,496,3549,0.4744499645138396,-5.5090355122206336e-05,-0.0007817490988991,0.0207726072458706,0.5811172893747848,11.594936059480018,0.9923274239792228,-5.5090355122208376e-05,-0.0421002652867947,-0.0629486520108704,-0.9999873013905516,-0.0657176381772797,1.0849317092156474,0.0133646874011289,-0.012827366897148,0.0092503251539348,-0.0104225111844615,-1.986312747780836e-05,-0.000312361432085,0.000273336919215,percentile_bootstrap_subsample_20000,-0.0008975675451016,0.000857841290146,0.0004478166015415,-0.0009479161591889,-0.0150210894120875,0.012946457974144,0.9020913369410848,0.9098457037342748,False,-0.0007309143570512,0.000675824001929,6.103667265496948e-11,1.6526852903499424e-09,True,0.9999999999995676,1.0,True,significant_but_negligible_effect,False,True
1,ict_ob_bearish_formed,-1,22494,496,3176,0.4755934915977594,-0.000225061188298,-0.0008168623472776,0.0240522809412583,0.3314822154269462,10.70390708514252,0.9729368997982122,-0.000225061188298,-0.1485404071564491,-0.2121600288135207,-0.9999956133310112,-0.1214942021232193,1.0590624601000356,0.0151273545789228,-0.0147206398866025,0.0103124350473758,-0.011767401837069,-0.0002010851675367,-0.0005365632103173,0.0001307816463937,percentile_bootstrap_subsample_20000,-0.0015040016624106,0.0011018313273372,0.0006647655236902,-0.0083415669120574,-0.02227801830347,0.0053925050797592,0.7349432912611544,0.7520349957090883,False,-0.000722843361712,0.000497782173414,0.0001207143502787,0.0018474544042656,True,0.9999999992478904,1.0,True,significant_but_negligible_effect,False,True
1,smc_swing_choch_bullish,1,2710,492,1490,0.5066420664206642,0.0010300576168272,0.0002537779946165,0.0205226325587734,2.0769673906340205,34.741375939561415,1.1731252196958224,0.0010300576168272,0.7967621938524789,1.2501974110516751,-0.4515851213063991,0.5110056781623225,1.1218597330375926,0.0129807114487042,-0.0116028172327422,0.0089422294417805,-0.0093563910914658,0.0010300576168272,0.0002379999748994,0.0017955532178811,percentile_bootstrap_full,5.222697947040045e-06,0.0020548925357074,0.0005228845626145,0.0501913004521879,0.0119921942759692,0.084513522960116,0.0488438441594809,0.0607527672937713,False,0.0007153110557899,0.0003147465610373,0.2114248577025417,1.0,False,0.2618727682771988,1.0,False,not_significant,False,False
1,smc_internal_choch_bearish,-1,26383,496,3358,0.4706060720918773,-0.0004387094472214,-0.0008961735478665,0.0217160690807646,0.2056853093892599,12.519677861574024,0.9428640365303312,-0.0004387094472214,-0.3206978456862959,-0.4521312165696157,-0.9999999898565428,-0.1564013605943455,1.0465213665773594,0.0135990698013718,-0.0135173423659753,0.0094442060401703,-0.010917769912268,-0.0005368582544366,-0.0008335069254298,-0.0002356236503365,percentile_bootstrap_subsample_20000,-0.0014367621601209,0.0003630456512475,0.0004591430789975,-0.0249436057376109,-0.0387808048664684,-0.0109883436651346,0.3393268481503669,0.3586878394862737,False,-0.0007287161487351,0.0002900067015136,0.00958371906742,0.0843367277932962,False,1.0,1.0,False,not_significant,False,False
1,smc_internal_ob_bearish_mitigated,1,42394,496,4048,0.517313770816625,0.0009540529031178,0.0007138845530881,0.0221422757154539,0.2455163928194059,12.830139023392364,1.1371950151638386,0.0009540529031178,0.683991135785751,0.9460317875975448,-0.792156201819564,0.2469079520829973,1.0444294375737555,0.0135669939778899,-0.0126018922286952,0.0100342301257727,-0.0092770574359155,0.0010194204774925,0.0007081237237277,0.0013204238086407,percentile_bootstrap_subsample_20000,0.0004051794085779,0.0016336615464072,0.000313394056684,0.0466259279279847,0.032449824645423,0.0605164937488826,0.0023325367496263,0.0037151716555135,True,0.0007278020794452,0.0002262508236725,0.010558836899306,0.088571258178609,False,0.0628339227475699,1.0,False,not_significant,False,False
1,ict_bpr_bearish,-1,26235,496,3246,0.4703640175338288,-0.0005268051726178,-0.0009014031514635,0.0209507016807973,0.3700888831908886,13.879186084777736,0.9294129259199476,-0.0005268051726178,-0.3991643327364119,-0.5742528495963879,-0.99999999823946,-0.1714352753732976,1.0346309046484865,0.0127900030543968,-0.0129194610261413,0.0090811401404442,-0.0101669881814761,-0.0005267592524663,-0.0008131916372796,-0.0002302157057605,percentile_bootstrap_subsample_20000,-0.0014708453459298,0.0004173268409971,0.000481685425581,-0.0252716038795316,-0.0392329041261741,-0.0109969681189775,0.2740994874082662,0.2968708294391067,False,-0.0007364858070989,0.0002096806344811,0.0471407311640235,0.3191064878795437,False,1.0,1.0,False,not_significant,False,False
1,smc_equal_lows,1,9360,495,2629,0.524465811965812,0.0009110346869513,0.0008005710244427,0.0191428409048634,1.9169259267252268,52.39430894426232,1.1583002749310525,0.0009110346869513,0.7554901269062411,1.0616197089180477,-0.7779265042378114,0.2599118189253815,1.035132064803937,0.0113814080215172,-0.0102539047944293,0.0084755575947439,-0.0076941074825392,0.0009110346869513,0.0005243078947692,0.0013009867350362,percentile_bootstrap_full,0.0002706165555494,0.0015514528183532,0.0003267499461224,0.0475914046132985,0.0279363958927616,0.0674586252752903,0.0053006575182304,0.0079228442775872,True,0.0007207802403567,0.0001902544465946,0.1823889954980062,0.9441312708132088,False,0.2541826498042659,1.0,False,not_significant,False,False
1,smc_internal_ob_bearish_formed,-1,42989,496,3658,0.4679103956826165,-0.0006088936245182,-0.001013083858522,0.0230993545187348,0.0919206437093387,12.09784404421967,0.92528874301759,-0.0006088936245182,-0.4184483434101093,-0.580158173931496,-1.0,-0.1982651087573435,1.0381265897301002,0.0141019756489682,-0.0141910629061088,0.0097290815688412,-0.0112642412687873,-0.0007582348216908,-0.0010811446162649,-0.000441933077042,percentile_bootstrap_subsample_20000,-0.0018183476215279,0.0003018779781463,0.0005408838120685,-0.0327637475173505,-0.04684519734776,-0.0190180228047624,0.2602763060248779,0.2827693201257933,False,-0.0007271455558736,0.0001182519313554,0.1125225815958853,0.6493106347828135,False,1.0,1.0,False,not_significant,False,False
1,smc_swing_ob_bullish_formed,1,7291,494,2628,0.5122754080373063,0.0008396143997268,0.0004251252350448,0.0180785043558615,1.2189684052097889,24.962205314379386,1.1537150600110544,0.0008396143997268,0.7372548708031964,1.0825191868615078,-0.4612260938927885,0.4038802217131297,1.0811252235712692,0.0117450529628203,-0.0107578687827898,0.0082128070035576,-0.008424523649566,0.0008396143997268,0.0004366524364695,0.0012553681968069,percentile_bootstrap_full,0.00029160007977,0.0013876287196835,0.0002796042784238,0.0464426914527693,0.0243544530682812,0.0691136213085742,0.0026744947691841,0.0042027774944321,True,0.0007326967182493,0.0001069176814774,0.3237540131189387,1.0,False,0.3863223780799836,1.0,False,not_significant,False,False
