n_trades,win_rate,avg_return,median_return,std_return,skewness,kurtosis,profit_factor,sharpe,sortino,expectancy,max_drawdown,avg_drawdown,calmar,cagr_annualized,reward_risk_ratio,avg_mfe,avg_mae,median_mfe,median_mae,p90_mfe,p10_mae,mfe_mae_ratio,signal,holding_period,mean_return,ci_lower,ci_upper,ci_method,n_bootstrap_iter,hac_ci_lower,hac_ci_upper,p_value_vs_zero,p_value_vs_zero_iid,hac_se,n_entry_dates,effect_size_cohens_d,cohens_d_ci_lower,cohens_d_ci_upper,p_value_vs_baseline_welch,p_value_vs_baseline_welch_two_sided,effect_size_vs_baseline,mean_diff_vs_baseline,excess_return_vs_matched_random,matched_null_mean,p_value_vs_matched_random,matched_null_se,matched_z,p_value_vs_matched_random_srs,matched_null_se_srs,direction,n_tickers,p_adj_vs_zero,reject_vs_zero,p_adj_vs_matched_random,reject_vs_matched_random,p_adj_vs_baseline_welch,reject_vs_baseline_welch,low_sample_warning,beats_matched_random,significance_label,p_value_vs_matched_random_two_sided,p_adj_vs_matched_random_two_sided,loses_to_matched_random
36634,0.4744499645138396,-5.5090355122206336e-05,-0.0007817490988991,0.0207726072458706,0.5811172893747848,11.594936059480018,0.9923274239792228,-0.0421002652867947,-0.0629486520108704,-5.5090355122208376e-05,-0.9999873013905516,-0.8704794832896554,-0.0657176381772797,-0.0657168036546586,1.0849317092156474,0.0133646874011289,-0.012827366897148,0.0092503251539348,-0.0104225111844615,0.0341358957359534,-0.030068142917633,0.904102794566996,ict_mss_bearish,1,-5.5090355122206336e-05,-0.0003480411120259598,0.00023765723927417386,percentile_bootstrap_subsample_20000_recentred,10000,-0.000917595213044517,0.0008074145028001044,0.9003748505452398,0.6117327496572861,0.0004400615817037,3549,-0.002652067430445337,-0.016737681640111773,0.0112298657461198,0.9999999999995676,8.646712532539826e-13,-0.0399421165182084,-0.0008323403194511,0.000675824001929,-0.0007309143570512,0.0623392116662989,0.0004401531374513,1.5354292504704363,6.103667265496948e-11,0.0001049948983296,-1,496,0.9081144624410442,False,0.9998391245174338,False,1.0,False,False,False,not_significant,0.1246784233325978,0.6649515911071883,False
22494,0.4755934915977594,-0.000225061188298,-0.0008168623472776,0.0240522809412583,0.3314822154269462,10.70390708514252,0.9729368997982122,-0.1485404071564491,-0.2121600288135207,-0.000225061188298,-0.9999956133310112,-0.9504596477810272,-0.1214942021232193,-0.1214936691683705,1.0590624601000356,0.0151273545789228,-0.0147206398866025,0.0103124350473758,-0.011767401837069,0.0385705151723191,-0.0345912910880987,0.889807237520095,ict_ob_bearish_formed,1,-0.00022506118829804353,-0.0005598623190387436,0.00010748253767237973,percentile_bootstrap_subsample_20000_recentred,10000,-0.0015074224335802939,0.0010573000569842068,0.7308582741163994,0.1605150447538395,0.0006542779588208,3176,-0.009357166118577221,-0.023252555628937344,0.004417967754291908,0.9999999992478904,1.504218964360066e-09,-0.0444810765975393,-0.0010023111526269,0.000497782173414,-0.000722843361712,0.223609888947263,0.0006549263629986,0.7600582317909534,0.0001207143502787,0.0001355916963797,-1,496,0.7522283990905632,False,0.9998391245174338,False,1.0,False,False,False,not_significant,0.447219777894526,0.8588125072146394,False
2710,0.5066420664206642,0.0010300576168272,0.0002537779946165,0.0205226325587734,2.0769673906340205,34.741375939561415,1.1731252196958224,0.7967621938524789,1.2501974110516751,0.0010300576168272,-0.4515851213063991,-0.1594773568317131,0.5110056781623225,0.2307625611611911,1.1218597330375926,0.0129807114487042,-0.0116028172327422,0.0089422294417805,-0.0093563910914658,0.0317285610416497,-0.0279841808721963,0.9708247335433788,smc_swing_choch_bullish,1,0.0010300576168272534,0.00023799997489940932,0.001795553217881151,percentile_bootstrap_full,10000,2.6101447534716913e-06,0.0020575050889010352,0.0494208206189137,0.0090289285785653,0.0005242175224003,1490,0.05019130045218799,0.011992194275969233,0.084513522960116,0.2618727682771988,0.5237455365543977,0.0122044095882175,0.0002528076524983,0.0003147465610373,0.0007153110557899,0.2740697091965061,0.0005240967463448,0.6005504961296885,0.2114248577025417,0.000392703220379,1,492,0.0623517163364072,False,0.9998391245174338,False,1.0,False,False,False,not_significant,0.5481394183930122,0.9003013759410734,False
26383,0.4706060720918773,-0.0004387094472214,-0.0008961735478665,0.0217160690807646,0.2056853093892599,12.519677861574024,0.9428640365303312,-0.3206978456862959,-0.4521312165696157,-0.0004387094472214,-0.9999999898565428,-0.9468878097293826,-0.1564013605943455,-0.156401359007895,1.0465213665773594,0.0135990698013718,-0.0135173423659753,0.0094442060401703,-0.010917769912268,0.0353620864744027,-0.0313405977164552,0.8766846154766885,smc_internal_choch_bearish,1,-0.0004387094472214857,-0.000736421610120129,-0.00013853833502679502,percentile_bootstrap_subsample_20000_recentred,10000,-0.0013126200416684246,0.0004352011472254532,0.3251567560890465,0.0010343085191658,0.0004458809419188,3358,-0.02020206537333588,-0.034085800970907215,-0.006293339769573443,1.0,4.255613378404024e-18,-0.0570493896381214,-0.0012159594115504,0.0002900067015136,-0.0007287161487351,0.2577242534775155,0.0004459052938558,0.6503773458392637,0.00958371906742,0.0001238149893321,-1,496,0.3510895035071913,False,0.9998391245174338,False,1.0,False,False,False,not_significant,0.515448506955031,0.889401345334171,False
26235,0.4703640175338288,-0.0005268051726178,-0.0009014031514635,0.0209507016807973,0.3700888831908886,13.879186084777736,0.9294129259199476,-0.3991643327364119,-0.5742528495963879,-0.0005268051726178,-0.99999999823946,-0.9268819586284894,-0.1714352753732976,-0.171435275071479,1.0346309046484865,0.0127900030543968,-0.0129194610261413,0.0090811401404442,-0.0101669881814761,0.0326604420493141,-0.0306788952689373,0.8607804384877851,ict_bpr_bearish,1,-0.0005268051726178116,-0.0008156751758106312,-0.00023269924429152703,percentile_bootstrap_subsample_20000_recentred,10000,-0.0014643158356055738,0.0004107054903699506,0.270748160829633,4.658969186916602e-05,0.0004783305524937,3246,-0.02514498944446629,-0.03921623222953663,-0.010980296222340018,1.0,9.509923410449605e-22,-0.062312637692536,-0.0013040551369467,0.0002096806344811,-0.0007364858070989,0.3305794572899036,0.0004783803168969,0.4383136744446629,0.0471407311640235,0.0001253146758757,-1,496,0.2959731447578597,False,0.9998391245174338,False,1.0,False,False,False,not_significant,0.6611589145798072,0.942778912206858,False
9360,0.524465811965812,0.0009110346869513,0.0008005710244427,0.0191428409048634,1.9169259267252268,52.39430894426232,1.1583002749310525,0.7554901269062411,1.0616197089180477,0.0009110346869513,-0.7779265042378114,-0.2350632471639747,0.2599118189253815,0.2021922927067131,1.035132064803937,0.0113814080215172,-0.0102539047944293,0.0084755575947439,-0.0076941074825392,0.0269980515314689,-0.025910259581786,0.9407592201455564,smc_equal_lows,1,0.0009110346869513586,0.0005243078947692233,0.0013009867350362598,percentile_bootstrap_full,10000,0.00026861735040272395,0.001553452023499993,0.0054443644500246,4.192518821243497e-06,0.0003277699674834,2629,0.047591404613298596,0.027936395892761673,0.06745862527529034,0.2541826498042659,0.5083652996085319,0.0066748717183765,0.0001337847226224,0.0001902544465946,0.0007207802403567,0.2807948063667463,0.0003277525266926,0.5804820134097028,0.1823889954980062,0.0002099247553947,1,495,0.008332244723516,True,0.9998391245174338,False,1.0,False,False,False,not_significant,0.5615896127334926,0.9003013759410734,False
42989,0.4679103956826165,-0.0006088936245182,-0.001013083858522,0.0230993545187348,0.0919206437093387,12.09784404421967,0.92528874301759,-0.4184483434101093,-0.580158173931496,-0.0006088936245182,-1.0,-0.9841757283599394,-0.1982651087573435,-0.1982651087573435,1.0381265897301002,0.0141019756489682,-0.0141910629061088,0.0097290815688412,-0.0112642412687873,0.0362818565168004,-0.0332938679936529,0.8655101734866844,smc_internal_ob_bearish_formed,1,-0.0006088936245182022,-0.0009318118052949218,-0.00029260026607211075,percentile_bootstrap_subsample_20000_recentred,10000,-0.0016469052351104066,0.0004291179860740021,0.2502644237528676,4.64480898510588e-08,0.0005296074879907,3658,-0.026359767933097685,-0.04042351745708779,-0.01259634291409014,1.0,2.732019038699953e-31,-0.0629227695284713,-0.0013861435888471,0.0001182519313554,-0.0007271455558736,0.4116908067565906,0.0005298079326579,0.2231977365122553,0.1125225815958853,9.74693703423338e-05,-1,496,0.2752908661281544,False,0.9998391245174338,False,1.0,False,False,False,not_significant,0.8233816135131812,0.9473489611698404,False
7291,0.5122754080373063,0.0008396143997268,0.0004251252350448,0.0180785043558615,1.2189684052097889,24.962205314379386,1.1537150600110544,0.7372548708031964,1.0825191868615078,0.0008396143997268,-0.4612260938927885,-0.1476620035996389,0.4038802217131297,0.1862800970613002,1.0811252235712692,0.0117450529628203,-0.0107578687827898,0.0082128070035576,-0.008424523649566,0.0276159800919795,-0.025271673510903,0.970417525272566,smc_swing_ob_bullish_formed,1,0.0008396143997268235,0.0004366524364695248,0.0012553681968069709,percentile_bootstrap_full,10000,0.0002913225809122302,0.0013879062185414167,0.0026878808900051,7.390642237823954e-05,0.0002797458620743,2628,0.04644269145276934,0.024354453068281202,0.06911362130857424,0.3863223780799836,0.7726447561599673,0.003191195305892,6.236443539790737e-05,0.0001069176814774,0.0007326967182493,0.3510455688043207,0.0002795239500981,0.382499179193522,0.3237540131189387,0.0002338394816257,1,494,0.0044419440060179,True,0.9998391245174338,False,1.0,False,False,False,not_significant,0.7020911376086414,0.9473489611698404,False
26887,0.5174619704689999,0.0008380224066125,0.0007194879707055,0.0202950353491743,0.4062011706061816,11.165352990938056,1.1305656871423353,0.6554900278368512,0.9345700114276598,0.0008380224066125,-0.7735022325563242,-0.2554564227727467,0.2234367973061471,0.1728288615515397,1.040286201882856,0.0125340315480593,-0.0113424956232209,0.0091921199159361,-0.0085510300228287,0.0299169429916704,-0.0287273826582999,0.9367115042663652,ict_bpr_bullish,1,0.0008380224066125627,0.0005601470319358977,0.0011109465524423135,percentile_bootstrap_subsample_20000_recentred,10000,2.4933868879042052e-06,0.0016735514263372213,0.0493202239695292,1.3074911060131912e-11,0.000426298146152,3297,0.04129199048902652,0.02747687117041324,0.05460751038447739,0.3209777461661084,0.6419554923322168,0.00294982830857,6.077244228364662e-05,9.422619503752888e-05,0.000743796211575,0.4125529505034666,0.0004263962460642,0.220982703077871,0.2245151388604833,0.0001244678020428,1,496,0.0623517163364072,False,0.9998391245174338,False,1.0,False,False,False,not_significant,0.8251059010069332,0.9473489611698404,False
147587,0.5159126481329657,0.0008279024520618,0.0005710856138481,0.0191878833930707,0.5542304002788834,16.78934661169314,1.1364324357342626,0.6849397465383809,0.9755437826539052,0.0008279024520618,-0.782202022356142,-0.1772466870704517,0.225428364514131,0.1763305226193908,1.0515082078530935,0.0121180858336787,-0.010893307061606,0.0088057864431667,-0.0081234718498602,0.0292746213865634,-0.027575942328296,0.9489142953644898,ict_nwog_gap_up,1,0.0008279024520618802,0.0005596495618021322,0.0010882824245321324,percentile_bootstrap_subsample_20000_recentred,10000,-0.00010204310187758071,0.0017578480060013411,0.0810028381820355,1.1845644218521512e-61,0.0004744707320846,854,0.043147148390575464,0.02935909891800384,0.05640394055709055,0.2188113350337812,0.4376226700675624,0.0025244749075868,5.065248773296403e-05,8.860402757993025e-05,0.0007392984244819,0.4259406021117012,0.0004745321924751,0.186718686287171,0.0410137587735104,5.0949930325159e-05,1,496,0.0990034688891546,False,0.9998391245174338,False,1.0,False,False,False,not_significant,0.8518812042234024,0.9473489611698404,False
