n_trades,win_rate,avg_return,median_return,std_return,profit_factor,sharpe,sortino,expectancy,max_drawdown,avg_drawdown,cagr_annualized,reward_risk_ratio,ticker,signal_frequency,baseline_avg_return,excess_return_vs_baseline,p_value_vs_baseline,effect_size_vs_baseline,eligible,p_adjusted_vs_baseline,significant_vs_baseline
4370,0.5627002288329519,0.013279690220869245,0.00593769338726069,0.1104540465785855,1.4178477983935416,0.6035407293829751,0.8017611924778721,0.011854837510337342,-0.9999994651761689,-0.8160814493629411,0.19152973023057324,1.0545927707449319,VRT,4370,-0.022089875601970347,0.035369565822839594,0.013466596963065312,0.34037321803618903,True,0.9963579652345987,False
9253,0.52274937857992,0.002193848309448331,0.0033832663868196278,0.07412661606066814,1.0814023842468512,0.14857053638810608,0.22778862925718638,0.0021204132575830606,-0.9999999999842333,-0.9761684540179958,-0.014372617656795806,0.9845970850161532,LVS,9253,-0.016400995344723696,0.018594843654172025,0.031045531892804207,0.27872744853844517,True,0.9963579652345987,False
4039,0.5087893042832384,0.012634635913795282,0.003021663991861212,0.15275508996394976,1.2458400929358844,0.4152095287186468,0.7576339518616937,0.01263463591379526,-0.9999999999997058,-0.9596086632179979,0.0301263812986211,1.2027964692870043,MRNA,4039,-0.005846361962133562,0.018480997875928842,0.29782564334080436,0.1332369073325749,True,0.9963579652345987,False
9312,0.5221219931271478,0.00403037911102378,0.004115286723354039,0.08876058387062226,1.1365714062700683,0.22794287375711694,0.33595088884375884,0.003943914171608415,-0.9999999999984882,-0.9623523276159173,-0.0015687863569769564,1.0372207588688385,HAL,9312,-0.012278176493965396,0.016308555604989176,0.11400267277466544,0.20330842746538486,True,0.9963579652345987,False
4016,0.5087151394422311,0.002056807978277476,0.0012800895658952038,0.0764102471933521,1.0792777539993326,0.1351270868154592,0.19199265511086838,0.002017298850776162,-0.9999784073569259,-0.869809998097748,-0.023164451238343303,1.0407132527551077,DOW,4016,-0.012396747449572079,0.014453555427849554,0.16710253884852197,0.19417594413899614,True,0.9963579652345987,False
9169,0.5464063692878176,0.004100711187586129,0.00582158751418782,0.057228027231012564,1.207761742481296,0.3597084817023164,0.5264190029514432,0.004081709920293792,-0.9999999208095182,-0.7842354686634245,0.06343096898732108,1.0016467145728114,CMI,9169,-0.009706277546364077,0.013806988733950205,0.0671108761810726,0.2537615440190373,True,0.9963579652345987,False
7652,0.5075797177208573,0.0019213283260833282,0.001155427940273679,0.07415664562198072,1.071184446229016,0.13006240464078414,0.20849479565697795,0.0019141632492052536,-0.9999999742152872,-0.9139300701255552,-0.020538433321243416,1.0389165316541462,WDAY,7652,-0.011367351669720449,0.013288679995803777,0.2281533631425745,0.17796292953942125,True,0.9963579652345987,False
9224,0.5538811795316565,0.006893930317262707,0.008423093143283156,0.07730405584523924,1.2743963577851918,0.44767709992181204,0.6510936373553714,0.0068388606932591085,-0.999982478119727,-0.7801943018604938,0.10192545545922926,1.0242065854503812,VLO,9224,-0.00572108585275487,0.012615016170017576,0.19991541478642896,0.17359007083263636,True,0.9963579652345987,False
9327,0.5106679532539938,0.0025538133813241856,0.0016178850336974193,0.07376670829351598,1.100640648401266,0.17379169716072976,0.25678222206803614,0.002525983193061916,-0.9999999992166132,-0.9505890733096322,-0.0053588760496491245,1.0535000453624548,SLB,9327,-0.008648814066112467,0.011202627447436653,0.23409166914379742,0.16128388612357866,True,0.9963579652345987,False
9206,0.5229198348902889,0.0058134886394867295,0.004871435265708879,0.10027342740255436,1.1676966023948656,0.29103903309350393,0.44090861019880445,0.005478775625995219,-0.9999999999999805,-0.9191540159662989,0.01755143318920049,1.0551475322845172,FCX,9206,-0.0053573772297383125,0.011170865869225041,0.4242659169318554,0.11337206991491265,True,0.9963579652345987,False
