n_trades,win_rate,avg_return,median_return,std_return,profit_factor,sharpe,sortino,expectancy,max_drawdown,avg_drawdown,cagr_annualized,reward_risk_ratio,sector,n_tickers,baseline_avg_return,excess_return_vs_baseline
174559,0.5237598748847094,0.0033817348247423317,0.003338455432355669,0.07894211423006336,1.1339638932944427,0.21504585042815785,0.2989786835455474,0.00331322653798638,-1.0,-0.9901662501975159,0.001943079126167594,1.0282908167320632,Energy,20,0.0008216158255503164,0.0025601189991920153
209369,0.5253929664850098,0.0028143665517172457,0.0031702966702875646,0.06283024620324291,1.1316024949643821,0.22485998092888249,0.32489191605230655,0.0025897153546139418,-1.0,-0.9170812237022989,0.020829736625514624,1.0115919977302252,Materials,24,0.0020074476304906917,0.000806918921226554
284013,0.5304827595919905,0.0020827873419020718,0.002750386384390957,0.04534984669150673,1.1359481176045871,0.23055225627481307,0.32750730806921313,0.0020304491226210315,-1.0,-0.8763353320877663,0.02669148047751859,1.0019767501796155,Consumer Staples,32,0.003461910048472189,-0.001379122706570117
568355,0.541269101177961,0.0036647982575744044,0.004532689191163675,0.056474803699585484,1.1970877816641181,0.32575839205051443,0.465756632513762,0.0036190409935377907,-0.9999999999999994,-0.8350162997275081,0.053124626972253355,1.0120532726683,Industrials,65,0.005487650100829575,-0.0018228518432551705
613499,0.5390391834379518,0.003090929938504297,0.004189758259394605,0.05712974068886684,1.1645402311764081,0.271598382192685,0.3754547239687262,0.003025003904577956,-1.0,-0.8625679942722494,0.036776257469463045,0.9923770261500563,Financials,69,0.006311548796286552,-0.0032206188577822547
257447,0.5391672849168955,0.0020442382568323127,0.003341297664023246,0.045898561507554045,1.1397736923978379,0.2235798741433506,0.29501299758973576,0.0019702708886641662,-1.0,-0.853615216211213,0.0232101324431245,0.9692760881779591,Utilities,29,0.0055525201910033425,-0.00350828193417103
424815,0.5321563504113556,0.003984747154284412,0.00417981784733179,0.07512950546685979,1.166964755860232,0.26625054743418575,0.378079023681835,0.003924796448570366,-1.0,-0.9327152109710095,0.026627222077731664,1.0233628637601746,Consumer Discretionary,49,0.007502642000232996,-0.0035178948459485843
458051,0.5302422655992455,0.0029347515108455583,0.003496472405355666,0.06028816000276014,1.1469491822001554,0.24436532249342652,0.3520620508310921,0.002881706660527717,-1.0,-0.9168338739185171,0.028280200219011113,1.0134254043087474,Health Care,53,0.006826454193398865,-0.0038917026825533063
167684,0.5236218124567639,0.002755312929247767,0.0027939065500599547,0.0641152191014286,1.1301095471596276,0.2157297647081817,0.3052989697445223,0.0026409687074665927,-1.0,-0.9433992560966613,0.017044948271100546,1.022624098731555,Communication Services,20,0.007526943876415692,-0.004771630947167925
268253,0.5353043581991628,0.0020437473971249513,0.0036452949890459774,0.051418474521461456,1.1177862127690306,0.19953004449330466,0.2704328133719734,0.001990552011343384,-1.0,-0.9291553931421587,0.01752589574936034,0.9673801095557099,Real Estate,30,0.0070000583428417125,-0.004956310945716761
405412,0.5324706718104052,0.0036063789440843813,0.004065283042707257,0.06781157679397587,1.1628417814121192,0.26697327321115616,0.37858345187479264,0.0034575803698504402,-1.0,-0.9208311761675837,0.03275107588528157,1.0142046698426348,Unknown,48,0.008577347216034734,-0.004970968271950353
505754,0.5398612764308339,0.005254306173860457,0.005557687422205637,0.07537257859985814,1.2176692053081986,0.34994699859042794,0.5184676271953681,0.005177825547679378,-1.0,-0.878848437259923,0.06127197892321557,1.0345753051264353,Information Technology,60,0.013111332482598973,-0.007857026308738517
