n_trades,win_rate,avg_return,median_return,std_return,skewness,kurtosis,profit_factor,sharpe,sortino,expectancy,max_drawdown,avg_drawdown,calmar,cagr_annualized,reward_risk_ratio,sector,n_tickers,matched_null_mean,excess_return_vs_matched_random,matched_null_se,p_value_vs_matched_random,n_long_trades,n_short_trades,avg_return_long,avg_return_short
94738,0.5028394097405476,0.0010515919923413,0.0005199044165854,0.0823774312398643,0.6049915861555402,11.395621591666876,1.038455547544439,0.0640824777592389,0.0942597364251047,0.0010515919923413,-1.0,-0.9968125504933512,-0.0606470314729475,-0.0606470314729475,1.02422087202182,Energy,21,0.0005161484623826,0.0005354435299586,0.0020369489857619,0.7926542800720122,50277,44461,0.0076519459166644,-0.0064121626297588
110445,0.4984200280682693,-0.0004560697151908,0.0,0.0647364372975207,0.0096302212598414,3.4703433337594003,0.9807668697413664,-0.0353657367574273,-0.0513890525323576,-0.0004560697151908,-1.0,-0.9985224500074128,-0.0630188702724313,-0.0630188702724313,0.9806956034377956,Materials,25,0.0003994454078322,-0.000855515123023,0.0009229616590409,0.3539661020681065,58709,51736,0.0054980566545806,-0.0072126957597809
350083,0.5055601100310497,-0.0004502523403268,0.0007342245181289,0.060903173621282,0.1756945171013426,6.778110436782441,0.979452116488193,-0.037112167981336,-0.0530071349009431,-0.0004502523403268,-1.0,-0.9965159018911992,-0.0569422937002465,-0.0569422937002465,0.9556282337307084,Industrials,80,0.0007015055956733,-0.0011517579360001,0.0009609746237402,0.2307103380368615,190600,159483,0.0071035494655313,-0.0094778892934603
344829,0.4976843594941261,-0.0006105820195166,-0.000179508084438,0.0593856910549244,0.1219142804244973,5.8446099624680485,0.9712996032424496,-0.0516133997508797,-0.0740122089256771,-0.0006105820195166,-1.0,-0.9990541137735878,-0.0586423337922808,-0.0586423337922808,0.9774460660962704,Financials,76,0.0005680486036129,-0.0011786306231295,0.001054375083052,0.2636321012468929,187020,157809,0.0053300526909189,-0.0076508490736495
210434,0.4981466873223908,-0.000644206959478,-0.000155016420805,0.0756604699191808,0.3320967179216351,9.845905215017316,0.9754761702618427,-0.0427421779737362,-0.0607963745480177,-0.000644206959478,-1.0,-0.9995749890585628,-0.0897813601057191,-0.0897813601057191,0.9804360450913197,Consumer Discretionary,47,0.0006444309046972,-0.0012886378641753,0.0012129857443702,0.2880684212875229,113005,97429,0.0067975788805953,-0.0092757130701586
315884,0.5055020197287612,-0.0004113110127405,0.0008789564165874,0.0764174042535444,0.0988603131811001,5.741128705819907,0.9850450960406896,-0.0270195633726168,-0.038707332880081,-0.0004113110127405,-1.0,-0.9977208452419116,-0.0846622786651989,-0.0846622786651989,0.9606780611624288,Information Technology,72,0.0009656215648302,-0.0013769325775707,0.0009534475400974,0.1486934492453366,171809,144075,0.0094475826254821,-0.0121680117386777
153556,0.4944906092891192,-0.0010404119781758,-0.0003776664690644,0.0469272772727503,-0.032566192969469,5.318061051851272,0.9402441682530236,-0.1112961796024433,-0.1584878381174154,-0.0010404119781758,-1.0,-0.995911385669942,-0.0528835598289511,-0.0528835598289511,0.9582238676196068,Consumer Staples,34,0.000418068357767,-0.0014584803359428,0.0005235750321241,0.0053425695642906,82461,71095,0.0036543709019553,-0.0064857525939504
257857,0.4957360087180104,-0.0010115475004946,-0.0004075795006153,0.0606896559836109,0.0374213742527311,6.180988571227722,0.9542505946269532,-0.0836704059254698,-0.1190514917475754,-0.0010115475004946,-1.0,-0.9984543488923058,-0.0702306160572231,-0.0702306160572231,0.968426735246035,Health Care,59,0.0005286142656248,-0.0015401617661194,0.0006972348827038,0.0271776427708025,139035,118822,0.005017769614325,-0.0080665213694663
132019,0.4973450791173998,-0.0011089640031624,-0.0001724342657957,0.0548472391848208,0.2400178297712929,8.167795181820768,0.9446679138326276,-0.101499276838862,-0.145745710128593,-0.0011089640031624,-1.0,-0.9976749009825896,-0.0641022572849998,-0.0641022572849998,0.9520343064350478,Real Estate,29,0.0004364822452086,-0.0015454462483711,0.0008963157792518,0.0846680029622589,71193,60826,0.0037963463043899,-0.0068503206060226
88478,0.4959198896900924,-0.0009874666192739,-0.0002512039731967,0.0719477659009626,-0.0563871816702644,8.34067716256256,0.9609140072863508,-0.0688978041948254,-0.0941694242777213,-0.0009874666192739,-1.0,-0.9991104999258654,-0.0889318894682052,-0.0889318894682052,0.9719076449101656,Communication Services,22,0.0006187242546739,-0.0016061908739478,0.0009418833258374,0.0881390341511635,47292,41186,0.0060704249619733,-0.0090917207022232
139802,0.4887841375659861,-0.0016905949186699,-0.0008642090971885,0.0474813585476043,-0.0537998036953434,16.222120515576066,0.901044507437702,-0.1787379172937549,-0.2439712128071157,-0.0016905949186699,-1.0,-0.9966744151866718,-0.0715988166776838,-0.0715988166776838,0.9379919078129298,Utilities,31,0.0005767244382416,-0.0022673193569116,0.0007817249619368,0.0037268022717924,77406,62396,0.0032198332950314,-0.0077822771789073
