signal,direction,n_trades,excess_return_vs_matched_random,matched_null_se,p_adj_vs_matched_random,beats_matched_random,effect_size_cohens_d,cohens_d_ci_lower,cohens_d_ci_upper
ict_bos_bearish,-1,42496,-0.0049264369736044,0.0030716214741274,0.9998391245174338,False,-0.1552682610045565,-0.1702459211376536,-0.1408914907159331
smc_fvg_bearish_formed,-1,67673,-0.0039394112594868,0.0035807802317418,0.9998391245174338,False,-0.1414107728279813,-0.1558457149425925,-0.1272506845433098
smc_swing_ob_bullish_mitigated,-1,3405,-0.0037585761468227,0.0153895628288829,0.9998391245174338,False,-0.0907188912619306,-0.1263253737059003,-0.0564063953653872
smc_internal_bos_bearish,-1,16549,-0.0032970900292779,0.0034920475853401,0.9998391245174338,False,-0.139353242593031,-0.1551870054536087,-0.123351764662974
smc_internal_bos_bullish,1,31944,-0.0030500340633582,0.0010836469049524,0.9998391245174338,False,0.0780907488476136,0.0643777001794905,0.0917493332969006
ict_bos_bullish,1,80739,-0.0028827744758332,0.0011032133110994,0.9998391245174338,False,0.084691841387931,0.0709258867927271,0.0984430619808517
ict_ob_bullish_mitigated,-1,20562,-0.0024122304439986,0.0067509023131768,0.9998391245174338,False,-0.1071318617060973,-0.1219095047717239,-0.092684219202743
ict_volume_imbalance_bearish,-1,84642,-0.0023161650417329,0.0023600204052752,0.9998391245174338,False,-0.1355357389794822,-0.1498065557241947,-0.121436807481905
ict_volume_imbalance_bullish,1,117546,-0.0020803786229006,0.0013466333514729,0.9998391245174338,False,0.0892417894425665,0.0753324860849893,0.1027213721222932
smc_internal_ob_bullish_formed,1,58340,-0.0019807272195576,0.0011865027347824,0.9998391245174338,False,0.0954598703979971,0.0819751321348129,0.1088347904299325
ict_liquidity_sellside_swept,-1,32884,-0.001974759789555,0.0026906805389026,0.9998391245174338,False,-0.1199952212598515,-0.1345629498914974,-0.1054542381753816
ict_displacement_bearish,-1,190415,-0.0018917293733527,0.0017113783693043,0.9998391245174338,False,-0.1398798840727869,-0.1540604978831057,-0.1260824941835581
ict_ob_bullish_formed,1,32541,-0.001662538795285,0.0011827805965692,0.9998391245174338,False,0.1016530573057856,0.0881166644147131,0.1153413427637179
ict_fvg_bearish_formed,-1,90730,-0.0016581954811098,0.0023566766098482,0.9998391245174338,False,-0.1195006608635689,-0.1337974208301379,-0.1055500338845624
ict_ob_bearish_formed,-1,22431,-0.00164773102806,0.0032255657884387,0.9998391245174338,False,-0.1225404158517516,-0.1369675388288919,-0.1083846429169148
smc_internal_ob_bearish_formed,-1,42864,-0.0016320791248434,0.0026815235034101,0.9998391245174338,False,-0.109832131247197,-0.1241309406249284,-0.0955245287755145
ict_fvg_bullish_formed,1,112181,-0.001629683288859,0.0013287456921632,0.9998391245174338,False,0.0932140523315638,0.0794196595694292,0.1065815370808627
ict_displacement_bullish,1,212461,-0.0015505495711958,0.0013722875141505,0.9998391245174338,False,0.0906609093295196,0.0770761708378373,0.1046562185165164
ict_mss_bearish,-1,36553,-0.0013572258401894,0.0021820448204985,0.9998391245174338,False,-0.1277430777265112,-0.141881959033334,-0.1138453056538491
ict_liquidity_sellside_pool_formed,-1,51635,-0.0013425673016585,0.0022219839916891,0.9998391245174338,False,-0.1257883603732818,-0.1398039444701419,-0.1116350371652882
smc_swing_bos_bullish,1,4576,-0.0011112585184269,0.0011850877081122,0.9998391245174338,False,0.1231191710004619,0.0945899347868496,0.1508263370047688
ict_bpr_bullish,1,26830,-0.0010467486501385,0.0018562389429287,0.9998391245174338,False,0.0977057747551546,0.0840201356334744,0.1115198658007275
smc_equal_lows,1,9341,-0.0010336660427048,0.0014387523811272,0.9998391245174338,False,0.1014399709964423,0.0810766264483504,0.1213287656443379
smc_internal_ob_bullish_mitigated,-1,39612,-0.0008974202285375,0.0049399048927192,0.9998391245174338,False,-0.1049740103460054,-0.1196874645169944,-0.0907726384240562
smc_swing_bos_bearish,-1,1245,-0.000873862455413,0.0058734559878565,0.9998391245174338,False,-0.0852945909405932,-0.1442708931510355,-0.0286827755559743
ict_bpr_bearish,-1,26182,-0.0006902706375234,0.0020953448128216,0.9998391245174338,False,-0.1236640255859412,-0.1374379480201014,-0.1099114327071709
smc_internal_choch_bullish,1,26396,-0.0006866698692634,0.0016085543787523,0.9998391245174338,False,0.1053380851193724,0.0913752298174328,0.1188966067063202
smc_fvg_bullish_formed,1,68004,-0.0006007962813129,0.0019518722402547,0.9998391245174338,False,0.0901589977992598,0.0768067086569541,0.103988992613183
smc_internal_choch_bearish,-1,26315,-0.0005849856246539,0.0024575693500147,0.9998391245174338,False,-0.114537868284746,-0.1285373571547215,-0.1005804353142405
smc_equal_highs,-1,10483,-0.000577860132035,0.0014045375685569,0.9998391245174338,False,-0.1278898811715667,-0.147626874003961,-0.1088957994897356
smc_swing_ob_bullish_formed,1,7275,-0.0005533546743633,0.0011681377349187,0.9998391245174338,False,0.1272718352416693,0.1049022453214699,0.1498011639688752
smc_swing_ob_bearish_mitigated,1,3356,-0.0004577901511066,0.0016205665261553,0.9998391245174338,False,0.1207484861239976,0.0878664171094115,0.1547199804501274
ict_liquidity_buyside_swept,1,44261,-0.0004508547800315,0.0013502704181829,0.9998391245174338,False,0.1034783988763466,0.0898991822151118,0.1171760986759816
ict_mss_bullish,1,36506,-0.0003555992330452,0.001710094646005,0.9998391245174338,False,0.1073565633859303,0.0936141788780686,0.1211467944052357
ict_ob_bearish_mitigated,1,20124,-0.0002451243143508,0.0012713223604746,0.9998391245174338,False,0.1219528539777509,0.1083842058138606,0.1354375248817312
ict_nwog_gap_down,-1,130643,-0.00020736832731,0.0021991938981877,0.9998391245174338,False,-0.1031901606454811,-0.1176016204567286,-0.0888382192410627
smc_internal_ob_bearish_mitigated,1,38121,-9.722745377494998e-05,0.0012340024256605,0.9998391245174338,False,0.1218108242935221,0.1080851999935177,0.1354544394574107
smc_swing_choch_bullish,1,2699,0.0003925393569204,0.0016873641534757,0.9998391245174338,False,0.1340216880146614,0.0974794858203561,0.1699366885099465
ict_nwog_gap_up,1,147321,0.0004796404086103,0.00178614299003,0.9998391245174338,False,0.1213562526022578,0.1073885766820142,0.1354652245117392
ict_liquidity_buyside_pool_formed,1,58941,0.0005836387468518,0.001505612279133,0.9998391245174338,False,0.1181210398281187,0.1044107342065029,0.1320353040575441
ict_sweep_buyside_bearish,-1,65448,0.0011368040029361,0.0015327621037049,0.9998391245174338,False,-0.1013994522406228,-0.1153390194274794,-0.0877076651457244
ict_sweep_sellside_bullish,1,49304,0.0011924374119934,0.0021293374369899,0.9998391245174338,False,0.1250551317759238,0.1104537029131403,0.1394277772385213
smc_swing_ob_bearish_formed,-1,3898,0.0019356407576345,0.0091593421580234,0.9998391245174338,False,-0.0518972418499287,-0.0844637341605148,-0.02017105467595
smc_swing_choch_bearish,-1,2653,0.0032540845948921,0.0115281721349341,0.9998391245174338,False,-0.037700224684901,-0.0768778116354144,-0.000502105339022
