ict.mss_pivot_len,5,10,15,20
3,-0.0007585833512394364,-0.00074917856632815,-0.0007654443061890431,-0.0006902652901389899
5,-0.0008191488986724932,-0.0008097441137612068,-0.0008260098536220999,-0.0007508308375720467
7,-0.0008503784151671773,-0.000840973630255891,-0.0008572393701167841,-0.0007820603540667308
10,-0.000808693889002481,-0.0007992891040911947,-0.0008155548439520879,-0.0007403758279020345
